name,mean,min,median,max,count,70%,80%,90%
avNNet_all,-3,-8.772,-8.302,-7.833,2,-8.115,-8.021,-7.927
elm_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
gamSpline_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
glm_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
glmStepAIC_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
icr_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
lars_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
lasso_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
lm_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
nnet_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
pcaNNet_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
superpc_all,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
SL.glm.interaction_range01,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
relaxo_asis,-2.849,-9.464,-6.384,-3.216,20,-5.62,-5.159,-4.719
superpc_asis,-2.876,-9.457,-6.384,-3.104,20,-5.62,-5.159,-4.722
superpc_range01,-2.689,-8.772,-6.056,-1.738,22,-5.192,-4.786,-3.561
relaxo_YeoJohnson,-2.905,-9.202,-5.952,-3.795,19,-5.361,-5.079,-4.69
superpc_YeoJohnson,-2.908,-9.202,-5.952,-3.943,19,-5.361,-5.079,-4.69
nnls_YeoJohnson,-2.789,-9.202,-5.894,-2.366,19,-5.361,-5.011,-4.206
nnls_asis,-2.64,-9.639,-5.742,-3.452,20,-5.105,-4.654,-3.667
nnet_asis,-2.509,-7.833,-5.711,-1.974,20,-5.256,-4.892,-4.162
pcaNNet_asis,-2.509,-7.833,-5.711,-1.974,20,-5.256,-4.892,-4.162
rvmLinear_YeoJohnson,-2.623,-9.202,-5.639,-2.051,19,-5.124,-4.739,-3.279
avNNet_YeoJohnson,-2.646,-8.772,-5.639,-1.577,19,-4.936,-4.625,-3.855
nnet_YeoJohnson,-2.646,-8.772,-5.639,-1.577,19,-4.936,-4.625,-3.855
pcaNNet_YeoJohnson,-2.646,-8.772,-5.639,-1.577,19,-4.936,-4.625,-3.855
avNNet_asis,-2.293,-8.772,-5.247,-1.974,20,-4.65,-4.055,-2.957
superpc_quantile,-2.34,-9.202,-5.181,-1.216,31,-4.238,-3.059,-2.709
relaxo_range01,-2.125,-8.772,-5.054,-0.697,22,-2.925,-1.662,-1.282
rlm_asis,-1.898,-7.995,-4.793,-0.222,20,-3.229,-2.46,-1.381
SL.step_range01,-1.797,-4.692,-4.692,-4.692,1,-4.692,-4.692,-4.692
ppr_all,-1.773,-4.629,-4.629,-4.629,1,-4.629,-4.629,-4.629
nnet_quantile,-1.647,-8.772,-4.431,0.363,31,-0.407,-0.117,-0.015
pcaNNet_quantile,-1.589,-8.772,-4.431,1,31,-0.26,0.232,0.567
avNNet_quantile,-1.607,-8.772,-4.18,0.363,32,-0.419,-0.119,-0.054
nnls_all,-1.57,-4.099,-4.099,-4.099,1,-4.099,-4.099,-4.099
relaxo_quantile,-1.854,-9.202,-4.013,-0.409,31,-2.222,-1.493,-1.057
qrf_all,-1.5,-3.916,-3.916,-3.916,1,-3.916,-3.916,-3.916
glm.nb_asis,-1.707,-7.833,-3.811,-0.137,20,-1.832,-1.371,-0.814
rlm_YeoJohnson,-1.503,-7.5,-3.718,0.417,19,-1.254,-0.23,-0.149
gamSpline_YeoJohnson,-1.737,-8.46,-3.442,0.187,19,-1.659,-1.207,-0.234
SL.nnls_range01,-1.233,-3.219,-3.219,-3.219,1,-3.219,-3.219,-3.219
glm_asis,-1.61,-7.833,-3.041,-0.194,20,-1.842,-1.419,-0.558
lm_asis,-1.61,-7.833,-3.041,-0.194,20,-1.842,-1.419,-0.558
widekernelpls_YeoJohnson,-1.351,-8.929,-2.968,0.415,19,-0.187,-0.1,0.211
SL.polymars_range01,-1.074,-2.804,-2.804,-2.804,1,-2.804,-2.804,-2.804
glm_YeoJohnson,-1.469,-8.46,-2.704,-0.089,19,-1.27,-0.811,-0.223
lm_YeoJohnson,-1.469,-8.46,-2.704,-0.089,19,-1.27,-0.811,-0.223
glm.nb_YeoJohnson,-1.585,-8.798,-2.65,-0.031,19,-1.197,-1.082,-0.441
glm.nb_range01,-1.52,-7.833,-2.599,0.701,15,-1.051,-0.761,-0.261
rlm_range01,-1.46,-7.833,-2.599,0.165,22,-1.11,-0.74,-0.088
gamSpline_range01,-1.552,-8.46,-2.573,0.388,20,-1.126,-0.415,0.264
spls_all,-0.888,-2.319,-2.319,-2.319,1,-2.319,-2.319,-2.319
qrf_asis,-0.982,-5.222,-2.188,0,20,-1.212,-1.046,-0.729
rpart_all,-0.837,-2.185,-2.185,-2.185,1,-2.185,-2.185,-2.185
rpart1SE_all,-0.837,-2.185,-2.185,-2.185,1,-2.185,-2.185,-2.185
kernelpls_asis,-1.232,-7.407,-2.164,0.272,20,-0.466,-0.139,0.19
gcvEarth_all,-0.804,-2.099,-2.099,-2.099,1,-2.099,-2.099,-2.099
svmLinear_all,-0.764,-1.995,-1.995,-1.995,1,-1.995,-1.995,-1.995
svmLinear2_all,-0.734,-1.916,-1.916,-1.916,1,-1.916,-1.916,-1.916
rpart2_all,-0.731,-1.909,-1.909,-1.909,1,-1.909,-1.909,-1.909
qrf_range01,-1.05,-5.222,-1.899,0.356,23,-1.471,-1.461,-0.999
qrf_YeoJohnson,-1.027,-5.222,-1.88,0,19,-1.491,-1.423,-0.974
gbm_all,-0.704,-1.838,-1.838,-1.838,1,-1.838,-1.838,-1.838
SL.xgboost_range01,-0.689,-1.799,-1.799,-1.799,1,-1.799,-1.799,-1.799
gamSpline_asis,-1.322,-7.833,-1.797,0.387,18,-1.445,-1.044,-0.33
qrf_quantile,-0.905,-4.638,-1.782,0.356,26,-1.483,-1.284,-0.749
simpls_asis,-1.27,-7.833,-1.683,0.272,20,-0.429,-0.085,0.19
h2oAutoml 100_asis,-0.56,-1.637,-1.637,-1.637,1,-1.637,-1.637,-1.637
gaussprLinear_YeoJohnson,-1.149,-7.365,-1.596,0.46,19,-0.531,-0.353,-0.095
bayesglm_all,-0.58,-2.136,-1.568,-1,2,-1.341,-1.227,-1.114
glm_range01,-1.322,-8.46,-1.521,-0.17,23,-1.13,-0.544,-0.19
lm_range01,-1.322,-8.46,-1.521,-0.17,23,-1.13,-0.544,-0.19
plsRglm_all,-0.575,-1.501,-1.501,-1.501,1,-1.501,-1.501,-1.501
gaussprLinear_all,-0.57,-1.488,-1.488,-1.488,1,-1.488,-1.488,-1.488
