name,mean,min,median,max,count,70%,80%,90%
SL.glm.interaction,-3,-7.833,-7.833,-7.833,1,-7.833,-7.833,-7.833
superpc,-2.661,-9.457,-5.894,-1.216,93,-4.926,-4.431,-3.39
relaxo,-2.325,-9.464,-5.217,0.522,93,-4.185,-3.018,-1.372
pcaNNet,-1.772,-8.772,-4.773,1,94,-0.811,-0.259,0.203
nnet,-1.773,-8.772,-4.773,0.56,94,-1.402,-0.094,0.279
avNNet,-1.723,-8.772,-4.754,0.725,96,-0.735,-0.133,0.201
SL.step,-1.797,-4.692,-4.692,-4.692,1,-4.692,-4.692,-4.692
SL.nnls,-1.233,-3.219,-3.219,-3.219,1,-3.219,-3.219,-3.219
SL.polymars,-1.074,-2.804,-2.804,-2.804,1,-2.804,-2.804,-2.804
rlm,-1.267,-7.995,-2.39,0.77,92,-0.888,-0.69,-0.163
glm.nb,-1.393,-8.798,-2.217,0.701,78,-1.15,-0.985,-0.344
qrf,-0.992,-5.222,-1.89,0.356,89,-1.462,-1.206,-0.906
SL.xgboost,-0.689,-1.799,-1.799,-1.799,1,-1.799,-1.799,-1.799
gamSpline,-1.303,-8.46,-1.736,0.388,89,-1.171,-0.724,0.041
h2oAutoml 100,-0.56,-1.637,-1.637,-1.637,1,-1.637,-1.637,-1.637
glm,-1.23,-8.46,-1.521,0.414,95,-1.158,-0.618,-0.186
lm,-1.223,-8.46,-1.507,0.414,94,-1.103,-0.613,-0.184
SL.glm,-0.462,-1.206,-1.206,-1.206,1,-1.206,-1.206,-1.206
SL.lm,-0.462,-1.206,-1.206,-1.206,1,-1.206,-1.206,-1.206
SL.speedglm,-0.462,-1.206,-1.206,-1.206,1,-1.206,-1.206,-1.206
SL.speedlm,-0.462,-1.206,-1.206,-1.206,1,-1.206,-1.206,-1.206
SL.gbm,-0.453,-1.183,-1.183,-1.183,1,-1.183,-1.183,-1.183
gaussprLinear,-0.926,-7.407,-1.117,0.465,62,-0.54,-0.311,0.141
SL.bartMachine,-0.402,-1.05,-1.05,-1.05,1,-1.05,-1.05,-1.05
glmStepAIC,-0.805,-9.202,-1.009,0.927,95,-0.385,-0.044,0.196
lmStepAIC,-0.721,-9.202,-0.932,0.927,70,-0.293,0.016,0.22
SL.caret.rpart,-0.35,-0.914,-0.914,-0.914,1,-0.914,-0.914,-0.914
nnls,-1.206,-9.639,-0.888,0.728,94,-0.158,-0.009,0.085
SL.earth,-0.327,-0.854,-0.854,-0.854,1,-0.854,-0.854,-0.854
SL.nnet,-0.306,-0.799,-0.799,-0.799,1,-0.799,-0.799,-0.799
ppr,-0.472,-4.816,-0.797,1,94,-0.125,0.186,0.522
bayesglm,-0.48,-5.22,-0.751,1,93,-0.116,0.162,0.481
SL.stepAIC,-0.254,-0.663,-0.663,-0.663,1,-0.663,-0.663,-0.663
gcvEarth,-0.35,-2.703,-0.628,1,95,-0.379,-0.145,0.099
SL.ipredbagg,-0.239,-0.624,-0.624,-0.624,1,-0.624,-0.624,-0.624
elm,-0.287,-7.833,-0.501,0.943,95,-0.195,-0.066,0.19
SL.caret,-0.187,-0.488,-0.488,-0.488,1,-0.488,-0.488,-0.488
SL.glmnet,-0.187,-0.488,-0.488,-0.488,1,-0.488,-0.488,-0.488
SL.biglasso,-0.186,-0.486,-0.486,-0.486,1,-0.486,-0.486,-0.486
SL.mean,-0.183,-0.478,-0.478,-0.478,1,-0.478,-0.478,-0.478
SL.rpartPrune,-0.183,-0.478,-0.478,-0.478,1,-0.478,-0.478,-0.478
rvmLinear,-0.837,-9.202,-0.431,1,61,0.076,0.266,0.462
rpart1SE,-0.228,-3.269,-0.418,0.822,93,-0.068,0.231,0.311
leapForward,-0.237,-5.119,-0.415,0.704,89,0.008,0.164,0.426
SL.cforest,-0.155,-0.405,-0.405,-0.405,1,-0.405,-0.405,-0.405
svmLinear,-0.227,-2.962,-0.384,0.905,61,0.093,0.414,0.595
gamboost,-0.14,-1.415,-0.366,0.823,94,-0.051,0.132,0.415
SL.ranger,-0.139,-0.363,-0.363,-0.363,1,-0.363,-0.363,-0.363
simpls,-0.708,-7.833,-0.346,0.973,93,-0.017,0.181,0.333
spikeslab,-0.144,-2.337,-0.343,0.574,76,0.077,0.318,0.396
leapSeq,-0.216,-2.852,-0.341,0.802,70,-0.054,0.084,0.307
rpart,-0.212,-2.758,-0.334,0.63,93,-0.218,-0.154,-0.015
rpart2,-0.177,-2.577,-0.325,1,93,-0.023,0.204,0.297
M5Rules,-0.225,-4.063,-0.308,1,94,0.014,0.222,0.398
M5,-0.173,-2.258,-0.292,0.699,94,0.06,0.197,0.37
dnn,-0.248,-5.894,-0.29,0,95,-0.204,-0.115,-0.052
SL.randomForest,-0.11,-0.287,-0.287,-0.287,1,-0.287,-0.287,-0.287
WM,-0.158,-1.977,-0.287,1,93,0.081,0.313,0.38
foba,-0.162,-3.128,-0.284,0.796,95,-0.068,0.13,0.294
SL.rpart,-0.108,-0.282,-0.282,-0.282,1,-0.282,-0.282,-0.282
lars2,-0.139,-2.474,-0.267,0.732,94,-0.032,0.038,0.265
leapBackward,-0.167,-3.653,-0.266,1,89,0.067,0.198,0.417
spls,-0.298,-7.299,-0.265,0.791,93,0.029,0.148,0.393
evtree,-0.157,-1.63,-0.259,0.452,85,-0.02,0.151,0.214
