0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNet,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
Fail,Fail,Fail,Fail,Fail,Wed Aug 02 16:37:26 2017,bag,8,1,basic latent features,ignore,none,asis,1

-0.011,-0.005,0.092,0.815,0.567,Sat Aug 05 11:54:15 2017,BstLm,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,233,366,adaptive_cv,32,8,5,4,20,0.0830515426881611
0.066,0.04,0.079,0.779,0.524,Sat Aug 05 11:55:12 2017,cforest,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,234,55,adaptive_cv,32,8,5,4,9
-0.067,-0.142,0.099,0.926,0.598,Sat Aug 05 11:55:30 2017,ctree,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,235,18,adaptive_cv,32,8,5,4,0.127636281773448
-0.028,-0.139,0.09,0.924,0.577,Sat Aug 05 11:56:13 2017,ctree2,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,236,42,adaptive_cv,32,8,5,4,8,0.0898204930126667
0.834,0.821,0.022,0.145,0.093,Sat Aug 05 12:16:58 2017,cubist,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,237,1244,adaptive_cv,32,8,5,4,92,2
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:17:11 2017,DENFIS,8,1,polynomial C1 t C2,ignore,none,range01,12
-0.538,-0.328,0.104,1.077,0.863,Sat Aug 05 12:17:58 2017,dnn,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,239,48,adaptive_cv,32,8,5,4,11,13,10,0.00446037813089788,0.0577907839091495
0.846,0.702,0.009,0.242,0.086,Sat Aug 05 12:18:18 2017,earth,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,240,19,adaptive_cv,32,8,5,4,7,2
-0.252,-0.207,0.096,0.979,0.702,Sat Aug 05 12:18:52 2017,elm,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,241,33,adaptive_cv,32,8,5,4,12,tansig
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:19:05 2017,enet,8,1,polynomial C1 t C2,ignore,none,range01,12
0.216,0.259,0.062,0.601,0.44,Sat Aug 05 12:32:15 2017,evtree,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,243,790,adaptive_cv,32,8,5,4,1.24437321349978
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:32:19 2017,extraTrees,8,1,polynomial C1 t C2,ignore,none,range01,2
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:32:35 2017,foba,8,1,polynomial C1 t C2,ignore,none,range01,14
-0.043,-0.05,0.101,0.852,0.585,Sat Aug 05 12:36:49 2017,gam,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,246,254,adaptive_cv,32,8,5,4,TRUE,ML
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:37:02 2017,gamboost,8,1,polynomial C1 t C2,ignore,none,range01,13
-0.067,-0.075,0.097,0.872,0.599,Sat Aug 05 12:37:51 2017,gamSpline,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,248,48,adaptive_cv,32,8,5,4,0.441165079828352
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:37:59 2017,gaussprLinear,8,1,polynomial C1 t C2,ignore,none,range01,7
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:38:41 2017,gaussprPoly,8,1,polynomial C1 t C2,ignore,none,range01,41
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:41:16 2017,gaussprRadial,8,1,polynomial C1 t C2,ignore,none,range01,154
0.437,0.372,0.062,0.51,0.316,Sat Aug 05 12:53:34 2017,gbm,8,1,polynomial C1 t C2,ignore,none,range01,0.811279835476402,random,252,738,adaptive_cv,32,8,5,4,4947,4,0.0167040169460233,8
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:58:35 2017,gbm_h2o,8,1,polynomial C1 t C2,ignore,none,range01,300
Fail,Fail,Fail,Fail,Fail,Sat Aug 05 12:58:40 2017,gcvEarth,8,1,polynomial C1 t C2,ignore,none,range01,4
