name,mean,min,median,max,count,70%,80%,90%
SL.bayesglm,0.474,Inf,,-Inf,1229,,,
SL.cforest,0.565,Inf,,-Inf,2,,,
SL.earth,0.37,Inf,,-Inf,1252,,,
SL.extraTrees,0.597,Inf,,-Inf,1276,,,
SL.gam,0.457,Inf,,-Inf,1208,,,
SL.gbm,0.49,Inf,,-Inf,2,,,
SL.glm,0.45,Inf,,-Inf,1237,,,
SL.glm.interaction,0.079,Inf,,-Inf,684,,,
SL.glmnet,0.55,Inf,,-Inf,1272,,,
SL.ipredbagg,0.599,Inf,,-Inf,1270,,,
SL.kernelKnn,0.434,Inf,,-Inf,1268,,,
SL.ksvm,0.54,Inf,,-Inf,1268,,,
SL.lm,0.45,Inf,,-Inf,1234,,,
SL.loess,0.239,Inf,,-Inf,1251,,,
SL.mean,0.057,Inf,,-Inf,1149,,,
SL.nnet,0.198,Inf,,-Inf,1263,,,
SL.nnls,0.524,Inf,,-Inf,1265,,,
SL.polymars,0.489,Inf,,-Inf,1249,,,
SL.randomForest,0.633,Inf,,-Inf,1264,,,
SL.ranger,0.639,Inf,,-Inf,1224,,,
SL.ridge,0.505,Inf,,-Inf,1221,,,
SL.rpart,0.345,Inf,,-Inf,1261,,,
SL.rpartPrune,0.176,Inf,,-Inf,1261,,,
SL.step.forward,0.498,Inf,,-Inf,1244,,,
SL.stepAIC,0.544,Inf,,-Inf,1260,,,
SL.svm,0.541,Inf,,-Inf,1260,,,
SL.speedglm,0.478,Inf,,-Inf,805,,,
SL.speedlm,0.478,Inf,,-Inf,805,,,
SL.bartMachine,0.59,Inf,,-Inf,579,,,
