QSlinks115_60Int_3,expoTrans_2,expoTrans_2,,expoTrans_2
QSlinks14_55Int_4,all_2,expoTrans_2,,YeoJohnson_2
QSlinks03_95_1,all_2,ICA_2,,YeoJohnson_2
QSlinks115_60_1,all_2,ICA_2,,YeoJohnson_2
QSlinks115_60_2,all_2,ICA_2,,YeoJohnson_2
QSlinks14_55_2,all_2,ICA_2,,YeoJohnson_2
QSlinks03_95_3,all_2,ICA_2,,YeoJohnson_2
QSlinks115_60_3,all_2,ICA_2,,YeoJohnson_2
QSlinks115_60_4,all_2,ICA_2,,YeoJohnson_2
QSlinks14_55_3,all_2,ICA_2,,YeoJohnson_2
QSlinks14_55_4,all_2,ICA_2,,YeoJohnson_2
QSlinks14_55Int_3,all_2,ICA_2,,YeoJohnson_2
QSlinks03_95_2,all_2,,,YeoJohnson_2
QSlinks14_55Int_1,all_2,,,YeoJohnson_2
QSlinks14_55Int_2,all_2,,,YeoJohnson_2
QSlinks115_60Int_1,all_2,,,YeoJohnson_2
QSlinks115_60Int_2,all_2,,,YeoJohnson_2
QSlinks04_90Int_1,all_2,,,YeoJohnson_2
QSlinks04_90Int_2,all_2,,,YeoJohnson_2
QSlinks14_55_1,all_2,,,YeoJohnson_2
QSlinks115_60Int_4,expoTrans_2,,,expoTrans_2
QSlinks03_95_4,all_2,,,YeoJohnson_2
