0.335,asis,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,,,,,,,0.953,0.91,0.012,0.109,0.042,Thu Aug 17 23:20:08 2017,avNNet,1,1,basic latent features,ignore,none,range01,1.2130597097,random,249,26,cv,5,6,1,5,3,0.0001543716,FALSE
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:51:57 2017,bag,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.994,range01,0.993,0.001,0.008,0.006,Tue Aug 29 22:54:42 2017,bagEarth,1,1,basic latent features,ignore,none,range01,1.1822702553,random,307,164,adaptive_cv,32,7,5,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:02 2017,bagEarthGCV,1,1,basic latent features,ignore,none,range01,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:09 2017,bam,1,1,basic latent features,ignore,none,range01,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:11 2017,bartMachine,1,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:13 2017,bayesglm,1,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:20 2017,blasso,1,1,basic latent features,ignore,none,range01,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:23 2017,blassoAveraged,1,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,Fail,Tue Aug 29 22:55:25 2017,bridge,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997,range01,0.997,0,0.003,0.003,Tue Aug 29 23:00:55 2017,BstLm,1,1,basic latent features,ignore,none,range01,1.1822702553,random,315,329,adaptive_cv,32,7,5,4,459,0.5230203737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.804,range01,0.777,0.06,0.264,0.192,Tue Aug 29 23:01:56 2017,cforest,1,1,basic latent features,ignore,none,range01,1.1822702553,random,316,61,adaptive_cv,32,7,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.606,range01,0.571,0.083,0.508,0.386,Tue Aug 29 23:03:30 2017,ctree,1,1,basic latent features,ignore,none,range01,1.1822702553,random,317,94,adaptive_cv,32,7,5,4,0.8862721846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.606,range01,0.571,0.075,0.508,0.386,Tue Aug 29 23:03:43 2017,ctree2,1,1,basic latent features,ignore,none,range01,1.1822702553,random,318,12,adaptive_cv,32,7,5,4,4,0.0900001028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,0,0,Tue Aug 29 23:07:13 2017,cubist,1,1,basic latent features,ignore,none,range01,1.1822702553,random,319,210,adaptive_cv,32,7,5,4,65,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.083,range01,-0.995,0.173,2.359,2.041,Tue Aug 29 23:07:33 2017,dnn,1,1,basic latent features,ignore,none,range01,1.1822702553,random,320,19,adaptive_cv,32,7,5,4,19,2,2,0.0564366868,0.0872354692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,0,0,Tue Aug 29 23:07:38 2017,earth,1,1,basic latent features,ignore,none,range01,1.1822702553,random,321,6,adaptive_cv,32,7,5,4,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,0.001,0,Tue Aug 29 23:08:02 2017,elm,1,1,basic latent features,ignore,none,range01,1.1822702553,random,322,23,adaptive_cv,32,7,5,4,7,purelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,0,0,Tue Aug 29 23:08:11 2017,enet,1,1,basic latent features,ignore,none,range01,1.1822702553,random,323,9,adaptive_cv,32,7,5,4,0.9451436321,3.76979800328993e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.54,range01,0.545,0.097,0.538,0.45,Wed Aug 30 07:51:32 2017,evtree,1,1,basic latent features,ignore,none,range01,1.1822702553,random,324,31401,adaptive_cv,32,7,5,4,1.3294182681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
