glm.nb,4,4,4.38461538461539,6
leapBackward,3,8,13.1875,39
lars2,4,10,15.375,39
rpart2,4,10,16.8666666666667,44
leapForward,3,12.5,14.75,29
pcr,3,12.5,16.375,47
kernelpls,2,14.5,17.375,39
simpls,3,15,18.6666666666667,37
leapSeq,3,19.5,17.25,31
svmRadialSigma,11,23.5,32.6428571428571,111
svmRadial,11,25,30.2857142857143,56
svmPoly,10,26,32.6428571428571,65
earth,6,27,29.9333333333333,79
rpart,5,29,25.0666666666667,46
lars,5,29,27.875,55
ranger,14,30,38.8125,109
icr,14,32,44,108
knn,10,36.5,36.375,71
elm,11,38,34,48
foba,10,40,36,64
glmnet,8,40,36.1333333333333,65
svmLinear3,13,40,54.8666666666667,132
relaxo,8,42,34.8666666666667,74
ctree,16,49.5,66.8125,224
svmRadialCost,16,50.5,48.6428571428571,82
cforest,20,52.5,122.875,520
ctree2,12,55.5,71.4375,251
pcaNNet,27,56,58.1875,125
widekernelpls,4,59,66.2666666666667,198
svmLinear,19,60.5,117.714285714286,445
dnn,28,65,60.6875,93
glmboost,18,65.5,74.9375,154
parRF,28,72,107.875,225
rf,23,74,97.9333333333333,241
svmLinear2,18,77.5,141,446
nnet,19,82.5,80.5,141
msaenet,57,92,92,127
xgbLinear,40,96,106.4,236
gamSpline,51,127,154.375,336
ppr,83,127.5,160.6875,482
qrf,39,129,143.8125,357
kknn,53,178,179.875,383
RRFglobal,73,195,277.133333333333,877
avNNet,53,218,235.882352941176,460
gbm,75,228,265.6875,553
xgbTree,169,338,425.8,1310
RRF,147,500,494.142857142857,722
Rborist,191,539,587.666666666667,1316
cubist,105,587,777.75,2340
BstLm,283,613,882.5625,2388
bagEarth,186,624.5,626.625,1301
gam,673,673,673,673
bam,776,776,776,776
neuralnet,81,926,3720.63636363636,17723
evtree,393,1038,1324.1875,4466
bag,Inf,,,-Inf
bagEarthGCV,Inf,,,-Inf
bartMachine,Inf,,,-Inf
bayesglm,Inf,,,-Inf
blasso,Inf,,,-Inf
blassoAveraged,Inf,,,-Inf
bridge,Inf,,,-Inf
DENFIS,Inf,,,-Inf
enet,Inf,,,-Inf
extraTrees,Inf,,,-Inf
gamboost,Inf,,,-Inf
gaussprLinear,Inf,,,-Inf
gaussprPoly,Inf,,,-Inf
gaussprRadial,Inf,,,-Inf
gbm_h2o,Inf,,,-Inf
gcvEarth,Inf,,,-Inf
glm,Inf,,,-Inf
glmnet_h2o,Inf,,,-Inf
glmStepAIC,Inf,,,-Inf
krlsPoly,Inf,,,-Inf
krlsRadial,Inf,,,-Inf
lasso,Inf,,,-Inf
lm,Inf,,,-Inf
lmStepAIC,Inf,,,-Inf
logicBag,Inf,,,-Inf
logreg,Inf,,,-Inf
M5,Inf,,,-Inf
M5Rules,Inf,,,-Inf
nnls,Inf,,,-Inf
ordinalNet,Inf,,,-Inf
pls,Inf,,,-Inf
plsRglm,Inf,,,-Inf
pythonKnnReg,Inf,,,-Inf
qrnn,Inf,,,-Inf
randomGLM,Inf,,,-Inf
ridge,Inf,,,-Inf
rlm,Inf,,,-Inf
rpart1SE,Inf,,,-Inf
rqlasso,Inf,,,-Inf
rqnc,Inf,,,-Inf
rvmLinear,Inf,,,-Inf
rvmPoly,Inf,,,-Inf
rvmRadial,Inf,,,-Inf
SBC,Inf,,,-Inf
spikeslab,Inf,,,-Inf
spls,Inf,,,-Inf
superpc,Inf,,,-Inf
svmBoundrangeString,Inf,,,-Inf
svmExpoString,Inf,,,-Inf
svmSpectrumString,Inf,,,-Inf
treebag,Inf,,,-Inf
WM,Inf,,,-Inf
xyf,Inf,,,-Inf
