0.335,asis,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,,,,,,,0.953,0.91,0.012,0.109,0.042,Thu Aug 17 23:20:08 2017,avNNet,1,1,basic latent features,ignore,none,range01,1.2130597097,random,249,26,cv,5,6,1,5,3,0.0001543716,FALSE
0.845,range01,0.849,-1,0.166,0.131,Mon Oct 16 15:26:19 2017,regr.bartMachine,1,1,basic latent features,ignore,none,range01,1.1016668235,nohyperparam,289,6,cv,32,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:26:19 2017,regr.bcart,1,1,basic latent features,ignore,none,range01,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,range01,NA,-1,NA,NA,Mon Oct 16 15:26:21 2017,regr.bdk,1,1,basic latent features,ignore,none,range01,1.1016668235,nohyperparam,291,1,cv,32,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:26:21 2017,regr.bgp,1,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:26:22 2017,regr.bgpllm,1,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.803,range01,0.792,0.06,0.229,0.167,Mon Oct 16 15:28:48 2017,regr.blackboost,1,1,basic latent features,ignore,none,range01,1.1016668235,random,294,145,cv,32,3,1,5,2,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:28:48 2017,regr.blm,1,1,basic latent features,ignore,none,range01,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.977,range01,0.97,-1,0.033,0.019,Mon Oct 16 15:28:50 2017,regr.brnn,1,1,basic latent features,ignore,none,range01,1.1016668235,nohyperparam,296,2,cv,32,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.367,range01,0.368,-1,0.697,0.536,Mon Oct 16 15:28:52 2017,regr.bst,1,1,basic latent features,ignore,none,range01,1.1016668235,nohyperparam,297,1,cv,32,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:28:52 2017,regr.btgp,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:28:52 2017,regr.btgpllm,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PrePackageFail,Mon Oct 16 15:28:53 2017,regr.btlm,1,1,basic latent features,ignore,none,range01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76,range01,0.637,-1,0.399,0.203,Mon Oct 16 15:28:55 2017,regr.cforest,1,1,basic latent features,ignore,none,range01,1.1016668235,nohyperparam,301,2,cv,32,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,range01,Fail,Fail,Fail,PackageFail,Mon Oct 16 15:29:11 2017,regr.crs,1,1,basic latent features,ignore,none,range01,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
