0.753,-0.249,0.522,1.007,-0.21
-1.278,-0.925,-0.401,-0.42,2.343
-0.337,0.773,1.191,2.005,0.039
-0.223,0.222,0.724,-0.219,0.704
-0.461,0.043,0.89,-1.236,-2.092
0.607,0.615,-1.439,0.134,0.484
-2.848,-0.11,-1.493,-1.173,-0.089
-0.649,1.727,-0.544,0.929,-1.767
0.384,0.956,0.708,-0.03,1.047
0.123,2.087,-0.281,-1.648,1.705
3.375,0.694,0.827,-1.951,-0.623
1.472,-0.082,0.165,-0.172,0.524
-0.413,0.672,-0.332,1.817,-0.412
-2.279,0.373,-0.307,-0.75,-1.935
-1.737,-0.178,-2.037,-0.357,-0.355
0.326,-0.431,1.031,-0.603,-0.51
0.296,0.453,0.488,0.559,0.192
-0.512,-0.612,-0.779,0.179,1.506
1.059,0.095,-0.917,-0.037,0.678
1.594,1.015,-0.509,0.501,1.096
1.262,0.067,1.493,-0.683,-0.227
-2.497,-0.855,-0.942,0.052,0.41
1.69,0.083,3.087,-0.448,-1.849
-0.039,0.444,-1.401,0.03,0.737
-1.747,0.882,-0.503,0.27,-0.758
4.184,1.007,0.641,-0.362,-1.741
-3.678,-0.649,-1.97,-1.06,-0.458
-0.354,0.73,-0.555,0.407,0.72
0.739,0.713,-1.373,-1.05,-1.228
1.585,-0.144,-0.925,0.544,-1.387
-1.701,-0.062,0.366,0.501,1.738
-2.008,0.543,-1.418,-1.296,-0.652
-1.691,-0.234,0.245,-0.535,0.508
-1.383,-1.229,-0.345,-0.114,-1.485
-1.887,-2.112,-0.234,-1.241,0.884
0.202,0.669,-1.477,1.018,-0.563
-1.976,0.904,-2.21,-0.153,-1.433
-0.258,1.461,-1.347,1.647,0.406
-2.238,0.111,0.502,0.321,0.721
0.028,1.136,0.887,1.445,1.912
-0.769,0.997,0.194,-1.159,0.431
-0.175,-0.639,-0.613,-1.863,0.274
0.719,0.463,0.133,2.431,-0.707
2.718,0.281,1.245,-0.573,1.596
-0.355,0.56,-0.662,0.012,-1.767
0.901,-0.198,-1.046,-0.206,0.956
-3.291,-2.144,-1.19,-1.055,-1.25
-0.854,0.328,-0.431,-1.115,0.317
-0.749,-0.547,-1.06,-1.698,-0.162
3.571,-0.917,1.654,-0.86,-0.977
-0.882,-0.462,-0.795,0.762,-0.26
0.027,-1.449,1.163,-0.099,1.402
2.124,-0.243,0.102,-1.459,0.004
1.755,1.522,0.154,0.331,0.538
-1.074,0.314,-0.439,-1.065,0.56
-2.537,0.088,-1.415,-0.343,-0.429
1.137,1.722,-0.441,0.832,1.284
3.098,0.642,-0.243,-0.197,-0.279
4.062,2.488,1.204,-2.174,-0.258
-0.083,0.074,1.527,-1.518,0.249
4.33,-0.96,2.295,1.47,-0.758
0.708,1.262,-0.464,-2.178,0.603
2.274,1.108,-0.291,0.455,2.365
2.946,1.404,-0.287,-0.19,-0.779
-0.432,-1.42,-0.534,-1.66,0.656
2.743,2.284,-0.11,-0.805,0.327
-2.082,-1.222,0.468,0.665,0.376
-2.191,-1.206,-0.748,0.666,0.367
1.026,1.091,-0.078,-0.303,-0.614
-1.071,-0.634,-1.001,1.172,-0.18
0.867,0.306,0.499,-0.998,-0.86
2.051,1.327,1.069,-0.351,-0.488
4.625,0.939,2.235,1.51,0.591
-3.838,0.172,-0.773,1.507,-0.602
-0.981,-1.544,0.841,-1.544,0.43
-2.659,-1.224,-0.049,0.198,-3.371
0.257,-0.376,1.242,0.101,-0.142
-1.431,-1.178,-1.021,1.26,0.534
0.653,0.242,0.497,0.712,-0.087
0.439,0.666,-1.012,-1.237,-1.775
-2.562,-0.782,-0.933,0.468,-0.789
-0.758,0.084,-1.204,-0.397,0.472
1.318,-0.255,0.198,0.108,-1.219
1.658,1.462,0.674,-0.852,1.439
1.757,-0.581,1.435,-1.095,0.047
-1.342,0.396,-0.56,-0.801,0.123
-0.408,0.584,-1.141,1.167,-2.134
2.319,1.046,0.649,0.2,-0.004
-0.163,-0.315,0.584,1.266,-0.307
0.714,0.632,-0.996,-1.121,1.723
0.178,-0.662,0.355,-0.982,1.088
0.039,-2.091,0.493,0.784,0.225
-1.306,-0.06,0.026,-0.131,-0.396
-2.61,0.8,-0.18,1.272,1.826
0.468,1.601,0.471,1.299,0.753
0.982,1.023,-0.257,0.194,1.704
0.963,0.914,-0.957,-0.025,-1.061
-0.78,-0.344,-0.172,-1.385,-0.797
-1.018,0.917,0.144,-0.305,0.196
0.22,0.604,0.942,-0.164,-1.501
