0.114,1.051,0.103,-0.166,1.184,1.197,-0.302,0.097,-0.235,-0.342,0
0.633,-0.763,1.043,1.64,3.125,1.95,-1.785,-0.132,2.739,1.991,0
0.783,2.007,-0.075,-0.331,1.988,1.834,-0.314,0.411,-0.844,-0.363,0
-3.116,3.467,1.344,-1.179,3.567,5.156,-1.535,-0.907,0.237,-3.564,0
1.216,0.149,-1.071,-0.585,-1.909,-1.963,1.325,0.611,-1.934,0.093,0
-1.672,0.886,0.319,-0.749,0.011,0.982,-0.086,-0.474,-0.265,-1.78,0
-1.399,-0.647,0.239,-0.221,-1.09,-0.46,0.108,-0.508,0.364,-0.79,0
1.643,-3.094,-0.809,0.913,-3.106,-4.06,1.094,0.394,0.251,2.446,0
-0.141,-0.928,-1.386,-1.232,-4.912,-4.068,2.347,0.209,-2.519,-0.952,0
1.421,1.81,-0.628,-0.543,0.809,0.582,0.395,0.706,-1.714,-0.163,0
0.409,-3.247,-0.47,0.723,-3.38,-3.802,0.942,-0.049,0.649,1.653,0
0.235,-0.009,-0.664,-0.581,-1.749,-1.472,0.99,0.223,-1.315,-0.392,0
-0.208,3.043,0.552,-0.476,3.662,3.877,-1.114,0.069,-0.321,-1.275,0
-1.507,-0.22,0.236,-0.409,-0.886,-0.125,0.103,-0.502,0.127,-1.121,0
-1.568,-1.47,-0.886,-1.226,-5.18,-3.841,2.037,-0.36,-1.666,-1.58,0
0.795,-0.725,-0.868,-0.301,-2.349,-2.394,1.216,0.369,-1.236,0.332,0
-0.108,1.445,0.891,0.43,3.591,3.295,-1.531,-0.118,1.163,-0.024,0
2.912,1.574,-0.578,0.303,2.194,0.967,-0.116,1.097,-1.035,1.45,0
-2.789,0.152,2.051,0.762,3.541,3.995,-2.441,-1.264,3.359,-0.85,0
-2.167,2.58,-0.758,-2.65,-2.402,-0.188,1.62,-0.215,-3.463,-4.157,0
0.795,-3.644,-1.379,0.078,-5.996,-6.133,2.316,0.241,-0.952,1.379,0
0.731,-0.408,-1.337,-0.924,-3.563,-3.223,1.953,0.489,-2.386,-0.336,0
-1.496,-5.843,1.182,2.354,-2.194,-2.855,-0.864,-1.202,4.724,2.72,0
0.247,-0.767,-0.36,-0.019,-1.394,-1.428,0.575,0.09,-0.322,0.301,0
0.532,-0.156,0.247,0.565,1.12,0.605,-0.542,0.079,0.757,0.829,0
0.861,2.955,0.548,0.064,4.599,4.132,-1.426,0.366,0.047,-0.197,0
0.031,0.287,0.13,0.061,0.623,0.562,-0.244,0.003,0.148,0.001,0
0.763,-1.607,-0.254,0.605,-1.205,-1.752,0.329,0.14,0.451,1.34,0
-0.204,0.905,-1.148,-1.588,-2.927,-1.933,1.809,0.291,-2.892,-1.75,0
0.952,-0.056,-0.224,0.241,0.195,-0.265,0.074,0.318,-0.147,0.739,0
1.31,-0.341,-0.361,0.359,-0.079,-0.717,0.211,0.428,-0.19,1.106,0
0.749,3.985,0.305,-0.569,4.528,4.436,-1.103,0.48,-0.976,-1.073,0
1.66,1.921,-1.23,-1.095,-0.665,-0.64,1.273,0.926,-2.953,-0.555,0
-0.628,-0.782,-0.944,-1.049,-3.96,-3.073,1.776,-0.021,-1.813,-1.085,0
1.807,3.12,-1.561,-1.747,-0.626,-0.308,1.64,1.148,-4.157,-1.351,0
0.327,-0.425,0.822,1.154,2.428,1.636,-1.371,-0.138,2.022,1.31,0
-0.372,-1.482,1.118,1.46,1.871,1.174,-1.528,-0.496,2.916,1.466,0
0.065,-1.077,1.002,1.422,2.238,1.4,-1.516,-0.31,2.622,1.568,0
