avNNet,2,0.47,,0,0.7957317073,0.993,17,0.903,0.909,0.961
avNNet,,0.284,first,0,0.3748809524,1,20,0.483,0.594,0.978
bagEarth,,0.501,,0,0.8428094949,1,16,0.958,0.984,1
bagEarth,1,0.522,first,0,0.8986498952,1,20,0.968,0.981,0.998
bagEarthGCV,,0.998,first,0.997,0.998,0.999,3,0.998,0.999,0.999
bam,,0.083,,0.0871848739,0.0871848739,0.0871848739,1,0.087,0.087,0.087
bayesglm,,1,first,1,1,1,3,1,1,1
blackboost,,0.77,first,0.724,0.785,0.801,3,0.791,0.795,0.798
blasso,,0.998,first,0.998,0.998,0.998,1,0.998,0.998,0.998
blassoAveraged,,0.999,first,0.999,0.999,0.999,1,0.999,0.999,0.999
bridge,,0.998,first,0.998,0.998,0.998,1,0.998,0.998,0.998
BstLm,,0.165,,0,0.0619537815,0.999,16,0.339,0.384,0.725
BstLm,1,0.308,first,0,0.248028817,0.999,20,0.704,0.899,0.978
bstSm,,0.997,first,0.997,0.997,0.997,1,0.997,0.997,0.997
bstTree,,0.369,first,0,0.4454406226,0.9937106918,20,0.753,0.771,0.809
cforest,,0.296,,0,0.286608289,0.9958677686,16,0.615,0.86,0.912
cforest,1,0.332,first,0,0.506021978,1,20,0.656,0.682,0.781
ctree,2,0.287,,0,0.2799782353,1,16,0.681,0.827,0.859
ctree,,0.228,first,0,0.255,1,20,0.35,0.41,0.686
ctree2,2,0.259,,0,0.1038601036,1,16,0.681,0.827,0.859
ctree2,,0.217,first,0,0.2504069767,1,20,0.336,0.421,0.529
cubist,2,0.529,,0,0.9969029565,1,16,1,1,1
cubist,,0.519,first,0,0.9919110212,1,19,1,1,1
DENFIS,,0,first,0,0,0,1,0,0,0
dnn,,0.047,,0,0,0.9566115702,16,0.003,0.015,0.197
dnn,,0.037,first,0,0,0.9769392034,20,0.019,0.072,0.209
earth,,0.456,,0,0.8496332518,1,15,0.944,0.965,0.995
earth,1,0.496,first,0,0.6426666667,1,19,0.933,0.974,0.999
elm,,0.255,,0,0.2608646617,1,16,0.704,0.837,0.974
elm,1,0.357,first,0,0.4476318681,1,20,0.759,0.994,1
enet,,0.973,first,0.973,0.973,0.973,1,0.973,0.973,0.973
evtree,2,0.328,,0,0.4679079519,0.9979338843,16,0.626,0.687,0.795
evtree,,0.176,first,0,0.042,0.84,19,0.259,0.448,0.524
foba,,0.329,,0,0.5305623472,1,11,0.856,0.959,0.996
foba,1,0.39,first,0,0.5038752495,1,16,0.849,0.991,1
gam,,0.083,,0.0871848739,0.0871848739,0.0871848739,1,0.087,0.087,0.087
gamboost,,0.995,first,0.995,0.995,0.995,1,0.995,0.995,0.995
gamSpline,,0.301,,0,0.3846428571,1,16,0.915,0.967,0.984
gamSpline,1,0.406,first,0,0.5872972973,1,20,0.935,0.978,1
gbm,2,0.377,,0,0.6508458647,1,16,0.785,0.898,0.966
gbm,,0.334,first,0,0.3983632735,0.9811320755,18,0.721,0.751,0.808
gcvEarth,,0.999,first,0.998,0.999,0.999,3,0.999,0.999,0.999
glm,,1,first,1,1,1,3,1,1,1
glm.nb,2,0.238,,0,0.2142857143,1,13,0.647,0.817,0.942
glm.nb,,0.755,first,0.7633973711,0.7633973711,0.7633973711,1,0.763,0.763,0.763
glmboost,,0.237,,0,0.2665859459,1,16,0.674,0.858,0.977
glmboost,1,0.339,first,0,0.3415,1,20,0.717,0.968,1
glmnet,,0.254,,0,0.34,0.9938016529,15,0.755,0.869,0.968
glmnet,1,0.345,first,0,0.324,0.973,19,0.69,0.95,0.971
glmStepAIC,,1,first,1,1,1,3,1,1,1
icr,,0.234,,0,0.2571052632,1,16,0.688,0.837,0.974
icr,1,0.331,first,0,0.3045,1,20,0.759,0.976,1
kernelpls,,0.229,,0,0.158572915,1,16,0.687,0.837,0.976
kernelpls,1,0.333,first,0,0.336,1,20,0.751,0.951,1
kknn,,0.265,,0,0.26826697,0.9979338843,16,0.483,0.567,0.742
kknn,1,0.305,first,0,0.3955131723,1,20,0.672,0.714,0.809
knn,,0.215,,0,0.2231329619,0.9958677686,16,0.41,0.46,0.682
knn,1,0.272,first,0,0.3695,0.9748427673,20,0.647,0.695,0.728
krlsPoly,,0.037,first,0.037,0.037,0.037,1,0.037,0.037,0.037
krlsRadial,,0.994,first,0.994,0.994,0.994,1,0.994,0.994,0.994
lars,,0.238,,0,0.2370488722,1,16,0.671,0.856,0.977
