0.335,lcv lhp,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,1,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,1,1,1,1
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:20:12 2017,bag,1,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
0.996,lcv lhp,0.996,0.001,0.005,0.004,Thu Aug 17 23:21:04 2017,bagEarth,1,1,basic latent features,ignore,none,range01,1.2130597097,random,251,52,cv,5,6,1,5,7,1,,,,,
0.992,lcv lhp,0.993,-1,0.009,0.007,Thu Aug 17 23:21:17 2017,bagEarthGCV,1,1,basic latent features,ignore,none,range01,1.2130597097,random,252,13,cv,5,6,1,5,1,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:22 2017,bam,1,1,basic latent features,ignore,none,range01,5,,,,,,,,,,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:23 2017,bartMachine,1,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
1,lcv lhp,1,-1,NA,NA,Thu Aug 17 23:21:26 2017,bayesglm,1,1,basic latent features,ignore,none,range01,1.2130597097,random,255,2,cv,5,6,1,5,none,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:31 2017,blasso,1,1,basic latent features,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:35 2017,blassoAveraged,1,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:39 2017,bridge,1,1,basic latent features,ignore,none,range01,3,,,,,,,,,,,,,,,
0.999,lcv lhp,0.999,0,0.001,0.001,Thu Aug 17 23:23:12 2017,BstLm,1,1,basic latent features,ignore,none,range01,1.2130597097,random,259,92,cv,5,6,1,5,484,0.594352303,,,,,
0.66,lcv lhp,0.63,0.056,0.449,0.306,Thu Aug 17 23:23:20 2017,cforest,1,1,basic latent features,ignore,none,range01,1.2130597097,random,260,8,cv,5,6,1,5,8,,,,,,
0.54,lcv lhp,0.565,0.077,0.528,0.414,Thu Aug 17 23:23:25 2017,ctree,1,1,basic latent features,ignore,none,range01,1.2130597097,random,261,4,cv,5,6,1,5,0.8098483586,,,,,,
0.54,lcv lhp,0.565,0.071,0.528,0.414,Thu Aug 17 23:23:29 2017,ctree2,1,1,basic latent features,ignore,none,range01,1.2130597097,random,262,4,cv,5,6,1,5,5,0.8820440182,,,,,
0.999,lcv lhp,0.999,0.001,0.001,0,Thu Aug 17 23:23:42 2017,cubist,1,1,basic latent features,ignore,none,range01,1.2130597097,random,263,12,cv,5,6,1,5,37,7,,,,,
-1.882,lcv lhp,-1.707,0.247,NA,NA,Thu Aug 17 23:24:11 2017,DENFIS,1,1,basic latent features,ignore,none,range01,1.2130597097,random,264,29,cv,5,6,1,5,0.7355649672,9,,,,,
-1.198,lcv lhp,-0.794,0.199,2.176,1.979,Thu Aug 17 23:24:15 2017,dnn,1,1,basic latent features,ignore,none,range01,1.2130597097,random,265,4,cv,5,6,1,5,2,18,12,0.0962737554,0.0009361045,,
0.847,lcv lhp,0.815,0.037,0.224,0.138,Thu Aug 17 23:24:18 2017,earth,1,1,basic latent features,ignore,none,range01,1.2130597097,random,266,3,cv,5,6,1,5,4,1,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:24:21 2017,elm,1,1,basic latent features,ignore,none,range01,1.2130597097,random,267,2,cv,5,6,1,5,17,purelin,,,,,
0.997,lcv lhp,0.997,0,NA,NA,Thu Aug 17 23:24:24 2017,enet,1,1,basic latent features,ignore,none,range01,1.2130597097,random,268,3,cv,5,6,1,5,0.9604784022,0.0026891028,,,,,
0.292,lcv lhp,0.308,0.107,0.839,0.638,Thu Aug 17 23:25:26 2017,evtree,1,1,basic latent features,ignore,none,range01,1.2130597097,random,269,62,cv,5,6,1,5,2.3698616587,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:25:27 2017,extraTrees,1,1,basic latent features,ignore,none,range01,1,,,,,,,,,,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:25:30 2017,foba,1,1,basic latent features,ignore,none,range01,1.2130597097,random,271,3,cv,5,6,1,5,5,0.0004465713,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:25:35 2017,gam,1,1,basic latent features,ignore,none,range01,4,,,,,,,,,,,,,,,
0.996,lcv lhp,0.995,0.002,0.006,0.003,Thu Aug 17 23:26:49 2017,gamboost,1,1,basic latent features,ignore,none,range01,1.2130597097,random,273,73,cv,5,6,1,5,911,no,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:26:59 2017,gamSpline,1,1,basic latent features,ignore,none,range01,1.2130597097,random,274,10,cv,5,6,1,5,2.1042306919,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:27:04 2017,gaussprLinear,1,1,basic latent features,ignore,none,range01,4,,,,,,,,,,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:27:10 2017,gaussprPoly,1,1,basic latent features,ignore,none,range01,6,,,,,,,,,,,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:27:16 2017,gaussprRadial,1,1,basic latent features,ignore,none,range01,6,,,,,,,,,,,,,,,
0.513,lcv lhp,0.476,0.102,0.636,0.439,Thu Aug 17 23:27:24 2017,gbm,1,1,basic latent features,ignore,none,range01,1.2130597097,random,278,7,cv,5,6,1,5,1264,7,0.2449238203,11,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:27:57 2017,gbm_h2o,1,1,basic latent features,ignore,none,range01,33,,,,,,,,,,,,,,,
1,lcv lhp,1,-1,NA,NA,Thu Aug 17 23:28:00 2017,gcvEarth,1,1,basic latent features,ignore,none,range01,1.2130597097,random,280,2,cv,5,6,1,5,1,,,,,,
1,lcv lhp,1,-1,NA,NA,Thu Aug 17 23:28:03 2017,glm,1,1,basic latent features,ignore,none,range01,1.2130597097,random,281,2,cv,5,6,1,5,none,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:28:06 2017,glm.nb,1,1,basic latent features,ignore,none,range01,1.2130597097,random,282,3,cv,5,6,1,5,identity,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:28:19 2017,glmboost,1,1,basic latent features,ignore,none,range01,1.2130597097,random,283,12,cv,5,6,1,5,872,yes,,,,,
0.974,lcv lhp,0.974,0.005,0.032,0.023,Thu Aug 17 23:28:22 2017,glmnet,1,1,basic latent features,ignore,none,range01,1.2130597097,random,284,3,cv,5,6,1,5,0.8280029623,0.0036824696,,,,,
Fail,lcv lhp,Fail,Fail,Fail,Fail,Thu Aug 17 23:28:55 2017,glmnet_h2o,1,1,basic latent features,ignore,none,range01,33,,,,,,,,,,,,,,,
1,lcv lhp,1,-1,NA,NA,Thu Aug 17 23:28:59 2017,glmStepAIC,1,1,basic latent features,ignore,none,range01,1.2130597097,random,286,4,cv,5,6,1,5,none,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:29:08 2017,icr,1,1,basic latent features,ignore,none,range01,1.2130597097,random,287,8,cv,5,6,1,5,6,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:29:10 2017,kernelpls,1,1,basic latent features,ignore,none,range01,1.2130597097,random,288,2,cv,5,6,1,5,8,,,,,,
0.778,lcv lhp,0.782,0.045,0.265,0.2,Thu Aug 17 23:29:15 2017,kknn,1,1,basic latent features,ignore,none,range01,1.2130597097,random,289,4,cv,5,6,1,5,9,1.6961263209,biweight,,,,
0.645,lcv lhp,0.567,0.086,0.525,0.32,Thu Aug 17 23:29:18 2017,knn,1,1,basic latent features,ignore,none,range01,1.2130597097,random,290,2,cv,5,6,1,5,14,,,,,,
0.022,lcv lhp,0.034,0.151,1.172,0.88,Thu Aug 17 23:29:21 2017,krlsPoly,1,1,basic latent features,ignore,none,range01,1.2130597097,random,291,3,cv,5,6,1,5,0.0008774766,1,,,,,
0.995,lcv lhp,0.994,0.001,0.008,0.005,Thu Aug 17 23:29:26 2017,krlsRadial,1,1,basic latent features,ignore,none,range01,1.2130597097,random,292,5,cv,5,6,1,5,2.68580736787827e-05,2510.3033114666,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:29:29 2017,lars,1,1,basic latent features,ignore,none,range01,1.2130597097,random,293,2,cv,5,6,1,5,0.9099645026,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:29:31 2017,lars2,1,1,basic latent features,ignore,none,range01,1.2130597097,random,294,2,cv,5,6,1,5,4,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:29:34 2017,lasso,1,1,basic latent features,ignore,none,range01,1.2130597097,random,295,2,cv,5,6,1,5,0.8618014657,,,,,,
1,lcv lhp,1,0,NA,NA,Thu Aug 17 23:29:36 2017,leapBackward,1,1,basic latent features,ignore,none,range01,1.2130597097,random,296,2,cv,5,6,1,5,7,,,,,,
