expirament,task,transTarg,transform,algomodel,hpGen,time,validmethod,tuneLength,cvcount,unmissed,keyMiss,foldCount,keeprunning,l1comb,sqrdcomb,mincomb
QSlink3,QSlinks115_60,1,centernscale,regr.ranger,random,13.89,cv,5,5,78,QSlinks115_60centernscale1QSlink3,20,TRUE,0.02095,2.7e-4,0
QSlink3,QSlinks115_60,1,range01,regr.randomForest,random,23.12,cv,5,5,78,QSlinks115_60range011QSlink3,29,TRUE,0.02885,3.5e-4,0
QSlink3,QSlinks115_60,1,centernscale,regr.randomForest,random,21.95,cv,5,5,78,QSlinks115_60centernscale1QSlink3,40,TRUE,0.05233,7.6e-4,0.00844950008204326
QSlink3,QSlinks14_55Int,1,centernscale,rf,random,17.6,3,6.2,NA,71,QSlinks14_55Intcenternscale1QSlink3,15,TRUE,0.07507,0.00178,0.006852130048413452
QSlink3,QSlinks115_60,2,range01,regr.randomForest,random,22.05,cv,5,5,78,QSlinks115_60range012QSlink3,29,TRUE,0.08413,0.00204,0.00789095678620727
QSlink3,QSlinks14_55Int,2,range01,rf,random,16.8,3,6.2,NA,71,QSlinks14_55Intrange012QSlink3,10,TRUE,0.08957,0.00345,0.0019869593883639625
QSlink3,QSlinks115_60,2,asis,regr.ranger,random,15.4,cv,5,5,78,QSlinks115_60asis2QSlink3,14,TRUE,0.09805,0.00255,0.019739892295960793
QSlink3,QSlinks14_55Int,2,centernscale,rf,random,14.73,3,6.2,NA,71,QSlinks14_55Intcenternscale2QSlink3,11,TRUE,0.10047,0.00273,0.020493971978645775
QSlink3,QSlinks14_55Int,2,range01,parRF,random,17.7,3,6.2,NA,71,QSlinks14_55Intrange012QSlink3,10,TRUE,0.10321,0.00593,0.01453187580028975
QSlink3,QSlinks115_60,2,centernscale,regr.randomForest,random,21.15,cv,5,5,78,QSlinks115_60centernscale2QSlink3,34,TRUE,0.1045,0.00274,0.014285533990055999
QSlink3,QSlinks115_60,2,asis,regr.randomForest,random,20.7,cv,5,5,78,QSlinks115_60asis2QSlink3,29,TRUE,0.1049,0.00366,0.007029621808591124
QSlink3,QSlinks115_60,2,range01,regr.ranger,random,14.6,cv,5,5,78,QSlinks115_60range012QSlink3,14,TRUE,0.10805,0.00352,0.017683083309926406
QSlink3,QSlinks115_60Int,2,asis,parRF,random,23.12,3,6.1,NA,71,QSlinks115_60Intasis2QSlink3,12,TRUE,0.11006,0.0035,0.021368599657087872
QSlink3,QSlinks115_60,1,range01,regr.ranger,random,17.11,cv,5,5,78,QSlinks115_60range011QSlink3,14,TRUE,0.1104,0.00341,0.025353437171401816
QSlink3,QSlinks14_55Int,2,all,rf,random,92.55,3,6.2,NA,71,QSlinks14_55Intall2QSlink3,11,TRUE,0.12248,0.00526,0.009169043805169641
