0.335,asis,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,,,,,,,0.953,0.91,0.012,0.109,0.042,Thu Aug 17 23:20:08 2017,avNNet,1,1,basic latent features,ignore,none,range01,1.2130597097,random,249,26,cv,5,6,1,5,3,0.0001543716,FALSE
0.995,range01,0.995,0.001,0.007,0.005,Fri Sep 29 00:11:17 2017,bagEarth,1,1,basic latent features,ignore,none,range01,1.3436107111,random,229,54,cv,32,3,1,5,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997,range01,0.997,-1,0.004,0.003,Fri Sep 29 00:11:25 2017,bagEarthGCV,1,1,basic latent features,ignore,none,range01,1.3436107111,random,230,8,cv,32,3,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,-1,NA,NA,Fri Sep 29 00:12:21 2017,bayesglm,1,1,basic latent features,ignore,none,range01,1.3436107111,random,233,2,cv,32,3,1,5,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997,range01,0.997,0.001,0.004,0.003,Fri Sep 29 00:15:09 2017,BstLm,1,1,basic latent features,ignore,none,range01,1.3436107111,random,237,157,cv,32,3,1,5,344,0.5988795181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.706,range01,0.6,0.063,0.538,0.315,Fri Sep 29 00:15:20 2017,cforest,1,1,basic latent features,ignore,none,range01,1.3436107111,random,238,10,cv,32,3,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.561,range01,0.553,0.085,0.601,0.47,Fri Sep 29 00:15:27 2017,ctree,1,1,basic latent features,ignore,none,range01,1.3436107111,random,239,6,cv,32,3,1,5,0.9631230528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.585,range01,0.567,0.089,0.582,0.445,Fri Sep 29 00:15:33 2017,ctree2,1,1,basic latent features,ignore,none,range01,1.3436107111,random,240,6,cv,32,3,1,5,4,0.2030819799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,0,0,Fri Sep 29 00:16:12 2017,cubist,1,1,basic latent features,ignore,none,range01,1.3436107111,random,241,38,cv,32,3,1,5,72,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.018,range01,-0.002,0.163,1.346,1.09,Fri Sep 29 00:16:19 2017,dnn,1,1,basic latent features,ignore,none,range01,1.3436107111,random,242,7,cv,32,3,1,5,8,7,10,0.0044406115,0.0934488166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0.001,NA,NA,Fri Sep 29 00:16:23 2017,earth,1,1,basic latent features,ignore,none,range01,1.3436107111,random,243,3,cv,32,3,1,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:16:26 2017,elm,1,1,basic latent features,ignore,none,range01,1.3436107111,random,244,3,cv,32,3,1,5,15,purelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:16:31 2017,enet,1,1,basic latent features,ignore,none,range01,1.3436107111,random,245,4,cv,32,3,1,5,0.8541610576,2.61758105087325e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509,range01,0.507,0.087,0.663,0.526,Fri Sep 29 00:19:46 2017,evtree,1,1,basic latent features,ignore,none,range01,1.3436107111,random,246,195,cv,32,3,1,5,1.3999279467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:19:51 2017,foba,1,1,basic latent features,ignore,none,range01,1.3436107111,random,248,3,cv,32,3,1,5,9,1.51265024170045e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997,range01,0.995,0.001,0.006,0.003,Fri Sep 29 00:20:49 2017,gamboost,1,1,basic latent features,ignore,none,range01,1.3436107111,random,250,51,cv,32,3,1,5,995,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:21:12 2017,gamSpline,1,1,basic latent features,ignore,none,range01,1.3436107111,random,251,23,cv,32,3,1,5,1.5496860619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.807,range01,0.744,0.056,0.344,0.207,Fri Sep 29 00:21:47 2017,gbm,1,1,basic latent features,ignore,none,range01,1.3436107111,random,255,9,cv,32,3,1,5,1841,9,0.1890267658,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,-1,NA,NA,Fri Sep 29 00:22:52 2017,gcvEarth,1,1,basic latent features,ignore,none,range01,1.3436107111,random,257,2,cv,32,3,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,-1,NA,NA,Fri Sep 29 00:22:55 2017,glm,1,1,basic latent features,ignore,none,range01,1.3436107111,random,258,2,cv,32,3,1,5,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:22:58 2017,glm.nb,1,1,basic latent features,ignore,none,range01,1.3436107111,random,259,2,cv,32,3,1,5,identity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:23:09 2017,glmboost,1,1,basic latent features,ignore,none,range01,1.3436107111,random,260,11,cv,32,3,1,5,474,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97,range01,0.969,0.005,0.041,0.032,Fri Sep 29 00:23:15 2017,glmnet,1,1,basic latent features,ignore,none,range01,1.3436107111,random,261,5,cv,32,3,1,5,0.5767573537,0.0027828873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,-1,NA,NA,Fri Sep 29 00:24:18 2017,glmStepAIC,1,1,basic latent features,ignore,none,range01,1.3436107111,random,263,2,cv,32,3,1,5,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:24:26 2017,icr,1,1,basic latent features,ignore,none,range01,1.3436107111,random,264,7,cv,32,3,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,range01,1,0,NA,NA,Fri Sep 29 00:24:28 2017,kernelpls,1,1,basic latent features,ignore,none,range01,1.3436107111,random,265,2,cv,32,3,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.694,range01,0.692,0.052,0.414,0.328,Fri Sep 29 00:24:36 2017,kknn,1,1,basic latent features,ignore,none,range01,1.3436107111,random,266,7,cv,32,3,1,5,4,2.1682534302,gaussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
