pMAE,pRMSE,ocvRMSE,RMSEutrans,MAEutrans,date,algomodel,trgCol,transTarg,task,missing,append,transform,pc,expirament,fold,maxfold,seed,seedit,foldseed,RMSEmean,RMSEmeantrain,hpGen,time,validmethod,tuneLength,cvcount,ignrepeats,adaptivemin,bestTuneparams,btp1,btp2,btp3,btp4,btp5,btp6,btp7,btp8,btp9,btp10,btp11 
0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,bac latent features,ignore,none,asis,CLOUD,10hp10cv,1,5,403,624,222,0.9,0.9284,random,434,cv,10,10,NA,5,15,1.3312352844514,0.968602964049205,1.30087468028069,1.36411243351176,,,
-0.191,-0.299,0.759,0.807,0.613,Tue May 01 14:17:37 2018,avNNet,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,288,cv,10,10,NA,5,10,0.000368728035535993,FALSE
Fail,Fail,Fail,Fail,Fail,Tue May 01 14:17:45 2018,bag,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,6
0.968,0.965,0.0209,0.022,0.0168,Tue May 01 14:21:23 2018,bagEarth,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,217,cv,10,10,NA,5,7,2
0.968,0.965,-1,0.022,0.0167,Tue May 01 14:22:42 2018,bagEarthGCV,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,28,cv,10,10,NA,5,1
0.968,0.966,0.021,0.0208,0.0162,Tue May 01 14:51:38 2018,bartMachine,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,1686,cv,10,10,NA,5,94,4.88732306170277,0.902442158269696,3.42171691171825,3.18136911955662
0.988,0.988,-1,0.00706,0.00564,Tue May 01 14:52:08 2018,bayesglm,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,7,cv,10,10,NA,5,none
0.987,0.987,0.00783,0.00733,0.00595,Tue May 01 14:53:14 2018,blasso,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,64,cv,10,10,NA,5,0.570953801739961
0.987,0.987,-1,0.00733,0.00595,Tue May 01 14:54:18 2018,blassoAveraged,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,62,cv,10,10,NA,5,none
0.987,0.987,-1,0.00735,0.00597,Tue May 01 14:55:43 2018,bridge,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,0.6201,0.6077,random,295,84,cv,10,10,NA,5,none
Fail,Fail,Fail,Fail,Fail,Tue May 01 14:56:01 2018,BstLm,1,1,bas interactive latent features,ignore,none,YeoJohnson,ALTA,15th10hp10cv,1,5,11
