0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
NA,NA,-1,NA,NA,Tue Dec 12 17:45:00 2017,regr.bartMachine,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,264,2,cv,20,3,NA,5
0,-0.007,-1,0.835,0.636,Tue Dec 12 17:45:02 2017,regr.bcart,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,265,2,cv,20,3,NA,5
NA,NA,-1,NA,NA,Tue Dec 12 17:45:03 2017,regr.bdk,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,266,0,cv,20,3,NA,5
NA,NA,-1,NA,NA,Tue Dec 12 17:45:04 2017,regr.bgpllm,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,267,1,cv,20,3,NA,5
0.573,0.549,0.425,0.374,0.272,Tue Dec 12 17:46:42 2017,regr.blackboost,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,random,268,98,cv,20,3,NA,5,4,448
NA,NA,-1,NA,NA,Tue Dec 12 17:46:43 2017,regr.blm,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,269,1,cv,20,3,NA,5
0.707,0.728,-1,NA,NA,Tue Dec 12 17:47:07 2017,regr.brnn,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,270,24,cv,20,3,NA,5
0.589,0.586,-1,NA,NA,Tue Dec 12 17:47:08 2017,regr.bst,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,271,1,cv,20,3,NA,5
NA,NA,-1,NA,NA,Tue Dec 12 17:47:13 2017,regr.btlm,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,272,5,cv,20,3,NA,5
0.209,0.174,-1,0.685,0.503,Tue Dec 12 17:47:16 2017,regr.cforest,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,273,2,cv,20,3,NA,5
Fail,Fail,Fail,Fail,PackageFail,Tue Dec 12 17:47:27 2017,regr.crs,1,1,Recc sim 1,ignore,none,YeoJohnson,14
0.321,0.355,-1,0.535,0.432,Tue Dec 12 17:47:29 2017,regr.ctree,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,275,2,cv,20,3,NA,5
0.564,0.549,-1,0.374,0.277,Tue Dec 12 17:48:20 2017,regr.cubist,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,276,51,cv,20,3,NA,5
0.713,0.709,-1,NA,NA,Tue Dec 12 17:48:22 2017,regr.cvglmnet,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,277,2,cv,20,3,NA,5
0.564,0.474,-1,NA,NA,Tue Dec 12 17:48:30 2017,regr.earth,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,278,7,cv,20,3,NA,5
0.01,0.013,-1,0.819,0.629,Tue Dec 12 17:48:31 2017,regr.elmNN,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,279,1,cv,20,3,NA,5
0.066,0.062,-1,0.778,0.594,Tue Dec 12 17:48:42 2017,regr.evtree,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,280,11,cv,20,3,NA,5
0.552,0.513,0.37,0.404,0.285,Tue Dec 12 17:54:28 2017,regr.extraTrees,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,random,281,346,cv,20,3,NA,5,13,3
0,-0.007,-1,0.835,0.636,Tue Dec 12 17:54:32 2017,regr.featureless,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,282,3,cv,20,3,NA,5
0.431,0.413,-1,0.487,0.362,Tue Dec 12 17:54:33 2017,regr.fnn,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,283,1,cv,20,3,NA,5
0.334,0.341,-1,0.547,0.424,Tue Dec 12 17:55:00 2017,regr.frbs,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,284,27,cv,20,3,NA,5
0.674,0.678,-1,NA,NA,Tue Dec 12 17:55:07 2017,regr.gamboost,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,285,6,cv,20,3,NA,5
0.44,0.342,-1,0.546,0.356,Tue Dec 12 17:55:11 2017,regr.gausspr,1,1,Recc sim 1,ignore,none,YeoJohnson,0.82944837655818,nohyperparam,286,4,cv,20,3,NA,5
