,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlr,mrmr,Tue Dec 10 00:14:04 2019,,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,579,222,,V2,0.0185,V3,NA,V4,0.0129,V14,0.106,V15,NA,V17,0.0178,V19,0.0212,V22,NA,V23,0.0119,V26,NA,V27,NA,V29,NA,V44,NA,V45,NA,V46,0.0164,V47,0.019,V51,NA,V54,0.0116,V55,0.0106,V56,NA,V57,NA
mlr,randomForestSRC.rfsrc,Tue Dec 10 00:14:04 2019,,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,579,222,,V2,0.339,V3,0.963,V4,0.593,V14,8.29,V15,4.74,V17,-0.0126,V19,0.289,V22,0.454,V23,0.529,V26,0.724,V27,0.0694,V29,2.47,V44,2.24,V45,0.323,V46,4.27,V47,2.96,V51,5.16,V54,0.117,V55,2.37,V56,7.28,V57,3.38
mlr,univariate.model.score,Tue Dec 10 00:14:04 2019,,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,579,222,,V2,-88.1,V3,-60.5,V4,-53.9,V14,-41.6,V15,-59.6,V17,-45.1,V19,-57.3,V22,-72.6,V23,-55.7,V26,-57,V27,-60.8,V29,-60.2,V44,-51.9,V45,-57.5,V46,-47.1,V47,-65.4,V51,-64.8,V54,-57.7,V55,-54.4,V56,-53.2,V57,-53.3
mlr_hold_permute,regr.brnn,Tue Dec 10 00:14:36 2019,0.04,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,0,V51,0.9479,V2,0.9729,V3,0.9783,V45,0.995,V57,0.9967,V29,0.9987,V56,1,V15,1.001,V4,1.002,V55,1.005,V26,1.006,V22,1.009,V54,1.016,V27,1.022,V47,1.025,V23,1.041,V17,1.047,V46,1.054,V19,1.07,V44,1.07,V14,1.093
mlr_train_permute,regr.brnn,Tue Dec 10 00:14:36 2019,0.04,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,0,V22,1.004,V29,1.006,V15,1.009,V2,1.009,V3,1.009,V55,1.01,V54,1.011,V23,1.012,V26,1.012,V4,1.012,V56,1.014,V27,1.021,V44,1.022,V57,1.023,V45,1.024,V51,1.036,V46,1.039,V19,1.076,V47,1.089,V17,1.091,V14,1.123
mlr_hold_permute,regr.bst,Tue Dec 10 00:14:39 2019,-0.12,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,0,V2,0.9966,V3,1,V26,1,V27,1,V29,1,V46,1,V51,1,V56,1,V57,1,V4,1.001,V45,1.001,V22,1.001,V55,1.001,V47,1.002,V54,1.004,V23,1.004,V17,1.007,V15,1.015,V44,1.018,V19,1.027,V14,1.048
mlr_train_permute,regr.bst,Tue Dec 10 00:14:40 2019,-0.12,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,0,V22,1,V3,1,V26,1,V27,1,V29,1,V46,1,V51,1,V56,1,V57,1,V23,1.002,V4,1.003,V55,1.004,V54,1.005,V15,1.006,V44,1.006,V2,1.008,V17,1.009,V47,1.018,V45,1.02,V19,1.025,V14,1.046
mlr_hold_permute,regr.gausspr,Tue Dec 10 00:15:17 2019,-0.008,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,1,V51,0.9748,V47,0.981,V26,0.9846,V54,0.9907,V29,0.9979,V4,0.9994,V56,1,V57,1,V22,1.002,V45,1.004,V3,1.005,V17,1.007,V55,1.008,V15,1.012,V23,1.012,V2,1.014,V14,1.02,V46,1.023,V44,1.023,V19,1.036,V27,1.037
mlr_train_permute,regr.gausspr,Tue Dec 10 00:15:18 2019,-0.008,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,1,V56,1,V55,1.026,V54,1.027,V23,1.027,V26,1.03,V2,1.033,V19,1.033,V27,1.034,V46,1.036,V22,1.038,V4,1.042,V44,1.046,V15,1.046,V29,1.051,V57,1.056,V14,1.057,V45,1.061,V51,1.066,V3,1.07,V17,1.085,V47,1.169
mlr_hold_permute,regr.gbm,Tue Dec 10 00:15:24 2019,0.079,2,QSlinks14_55Int,ignore,none,expoTrans,HOPPER,QSlink2,2,5,403,232,222,0,V47,0.9661,V4,0.9849,V2,1,V17,1,V19,1,V22,1,V23,1,V26,1,V27,1,V45,1,V54,1,V3,1.004,V57,1.005,V15,1.012,V55,1.015,V29,1.016,V44,1.032,V46,1.045,V14,1.066,V56,1.094,V51,1.123
