-0.356,0,-1.292,-1.114,1.285,-1.44,0,0,0,-0.999,0,0,0,0,3.752,0,3.423,0,0,0,0,1.069,0.34,0,-0.795,1.097,-2.314,0,-1.109,-1.459,0,-0.873,0,0,0,2.32,0,0,0,-3.19,0,0,0,0,0,0,0,0,0,4.771,1.807,0,-0.708,-0.996,0,0,0,0,0,1.027,1.41,1.969,0,0.884,0,0,-0.103,0,0,0,0,0,-1.839,-2.985,0,0,0.207,-0.357,0,0,0.843,0,-0.484,3.43,0,0,0,2.762,0,0,1.849,0,0,0.046,0,0,0,0,-1.348,-2.576
-0.318,0,-1.459,0,0,0.178,0,2.205,0,0.9,0,0,0,0,0,-0.154,0,0,-2.397,0,0,1.045,0,0,-1.806,-2.027,2.231,0,0,0,0,0,-2.101,0,-1.718,0,0,0,-1.247,0,0.513,1.925,0,0,0,-0.948,-0.051,-1.659,-1.437,-1.2,0,0,0,1.69,0,0,1.617,0.684,0,0,0,0,2.005,0,0,-0.053,0,0,1.162,0,0,0,1.676,0,0.758,0,0,0,0,0,2.48,-1.022,0,0,0,0,2.333,-3.145,0,0,-1.684,0,1.136,0,-0.219,3.175,0,0.577,0,0
-0.492,0,0,0,-0.615,-1.093,0,0,0,-1.447,0,0,-2.569,-1.077,0,3.087,0,0,0,0.506,0.203,0,0,0,1.673,0,0,0,0,-2.109,0.789,0,4.059,0,0,0,2.614,3.481,-0.658,0,0,0,-1.236,0,0,0,1.416,0,2.714,2.785,3.088,0,0,0,0,0,0,0.305,-0.928,0,-0.88,0,-0.3,0,0,0,0,-0.313,1.938,2.392,0,0,0,0,-1.926,0,0,0,-0.064,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.026,-1.397,0
1.751,0,0,0,0,3.328,0,0,0,0,0,0,0,0,0,0,-4.568,4.943,0,1.963,0,2.281,-2.513,0,0,0,0,0,1.199,0,1.411,0,0,0,0,0,0,2.766,3.53,0,-2.133,0,0,0,0,0,0,0,0,-4.297,0,-4.399,0,0,-3.296,-2.46,0,0,0,0,0,2.608,0.03,0,-2.569,-1.613,0,0,0,1.124,0,0,4.142,4.503,-0.507,2.953,-1.878,3.944,0,0.04,-6.256,0,0,0,-2.093,5.486,0,0,4.391,0,2.814,0,0,-2.332,-0.97,-2.704,0,0,2.388,4.463
0.403,0,0,-1.439,0,0,-0.44,-1.83,0,0,0,0,0,0,3.374,0,0,-0.724,0,-0.944,0,0,0,0,-0.345,0,0,-0.097,0,0,0,-0.399,0,0,0,0,-0.588,1.804,0,0,0.073,0,1.953,0,1.05,0,-0.097,0,0,2.316,-0.105,0,-0.638,0,0,0,0,0,0,-0.026,0,0,0.216,0,0,-2.516,-1.3,0,1.496,0,0.288,0,0,0,0,0,0,0,0,0,0,1.872,0,2.153,0,0,0,0,0,0,0,0,-0.661,0,0,0,1.632,1.836,0.237,0
1.447,-1.166,-1.228,0,3.089,0.702,-1.413,0,0,0,0,0,-2.113,-0.306,6.265,0,0,-0.524,2.83,-2.805,2.916,0,-0.558,0,0,0,-1.598,2.154,0,0,0,0,-0.513,0,3.529,5.068,0,3.109,5.427,0,0,-1.471,0,1.708,3.68,0,0,0,0,3.619,0,0,0,0,1.022,0,0,0,0,0.043,-3.178,0,0,-2.414,-0.284,-5.585,0,0,1.245,0,-0.555,0,0,0,6.127,0,-4.595,0,0,1.39,-3.658,2.014,-3.223,0,0,0,0,0.729,0,0,0,-4.249,-2.102,-1.596,0,-2.183,5.522,0,1.076,0
-0.705,0,1.754,0,-1.019,0,2.131,-0.742,0,0,0,0,0,0,1.454,0,0,0,2.132,0,0,0,0.467,0,0,0,0,0,-1.234,0,0.676,-0.754,0,-2.385,0,-0.311,0,0,0,0,0.876,1.86,0,0,0,0,0,0,0,0,0,0,2.023,-1.495,2.132,0,0,-0.874,0.042,0.634,0,1.801,0,0,1.233,2.655,0,0,0,0,0,5.132,0,0,0,-1.11,2.474,-0.305,0,0,0,0,0.037,0,4.033,0,-0.769,0,0,0,0,0,0,1.659,0,0,0,0,0,-2.529
0.421,0,0,0,0,0,0,0,0.898,1.905,-0.211,-2.649,0,1.426,0,0,-2.382,0,0,0,0.221,0,0,0,0,0,2.767,3.112,0,2.524,-0.193,0,0,0,0,0.087,-1.522,-2.195,0,0,0,0.344,-0.423,-1.135,0,0,0,0,0,0,0,0.901,0,0,0,0,0,0,0,0.328,0,-1.577,1.184,-0.734,-1.135,0,0.272,0,0,0,2.877,-3.854,0,4.199,0,0,0,0,0,0,0.129,-3.78,0,-2.826,-4.106,0,0,0,3.585,-1.053,0,2.294,0,0,0,0,0,0,0,0
-1.52,0,-1.125,0.133,0,0,1.729,0,3.071,-2.992,0,0,-1.953,1.58,0,4.364,0,0,0.373,0,-2.196,-2.926,0,0,0,-0.141,-2.097,-3.866,-0.901,1.275,0,-0.731,0,-3.906,0,-1.391,4.411,1.667,0,0,0,0,-0.611,0.402,-2.774,-0.918,0,0,0,4.197,3.44,0,0,0,3.45,0,0,-1.804,1.254,0,0,0.063,0,0,0,0,0,0,0,0,-2.274,3.431,-4.466,-4.39,0,-3.181,0,0,0,-0.396,0,6.269,0,0,0,-3.472,2.33,0,-5.823,0,0.672,0,3.332,0,0,1.053,0,0,0,0
0.855,-1.615,-1.442,-2.209,0,0,-1.147,0,-2.572,0,0,0,0,0,5.284,0,0,0,1.104,-1.71,1.445,0,-0.096,0,-0.905,1.397,0,0,0,0,0,0,-0.635,-0.379,2.979,0,-2.299,1.18,0,0,0,0,0,2.032,2.636,0,0,2.441,0,0,-1.489,0,-2.318,0,0,0,-0.204,-2.406,-2.224,0,0,0,-0.574,0,0,0,-3.275,0.202,0,-0.399,0.912,0,2.222,0,0,0,-2.486,1.646,5.021,0,0,0,0,0,0,2.247,0.517,0,0,-2.481,1.234,0,0,0,0,0,0,3.319,0,0
0.497,0,0,0,0,2.377,-0.895,0,0,0,0,-2.158,0,0,0,0,0,3.516,0,0,0,1.533,0,0,0.346,-0.52,0,3.179,0,0,0,0,-2.006,3.68,-2.089,0,0,-1.856,0,0,-1.01,0.891,0,0,1.035,0,0,2.391,0,-3.195,0,0,0,0,-1.998,0,0,3.42,1.029,0,0,0,0,0,0,0,0,1.565,0,-0.866,0,-4.313,0,0,-0.787,0.896,0,0.425,0,-0.025,0,0,0,0,0,0.29,0.738,0,3.441,0,-1,2.685,0,0,0,0,0,1.721,0,2.464
0.533,0.847,0,-0.187,0,0,0,-1.682,-1.129,0,0,0,0,0,2.234,-0.266,0,-0.269,2.167,0,0,0,0,0,0,0,0,0,0,-2.224,1.883,-0.551,1.803,0,2.238,2.159,0,0,2.014,0,0,0,0.342,0,0,1.392,1.048,2.512,0,0,0.093,-1.318,0,0,0,0,0,0,-1.843,-0.2,-2.941,0,0,0,0,0,-1.113,0,0,0,0,0,0,0,0,0,-1.614,2.106,0,0,0,0,0,0,1.504,2.463,-1.397,0,0,0,2.474,0,0,0.005,0.504,0,0,0.503,0.424,1.192
0.79,0,-0.466,0,0,1.063,0,0,-2.116,0,1.195,0,-0.65,0,2.807,-2.568,0,0,-0.375,-1.523,0,0,0,0,0,0,0,0,0,0,0,-0.634,0,0.671,1.443,0,-2.534,0,2.685,0.522,0,0,0,0.809,1.789,0,0,3.043,-0.722,1.667,-1.526,0,0,0.454,0,0,1.237,-1.119,0,0.052,-0.936,0,-0.109,0,0,0,0,0.195,-0.256,-0.839,1.11,0.315,2.766,0,3.232,3.318,0,0,0,0,-0.897,0,-0.922,0,0,1.733,-0.574,-1.704,0,0,0.844,0,0,0,0,0,0,3.087,0,0
1.194,0,0,0,-0.893,2.791,0,0,0,2.865,0,-0.38,0,-0.712,0,-2.667,-3.079,3.895,0,0,0,0,-1.694,0,0,0,2.743,0,0,0,0.484,0.242,-0.884,0,0,0,0,0,0,3.723,-1.517,-0.08,0.099,0,0,1.147,1.871,0,0,0,-2.404,0,-0.045,1.875,0,0,5.123,0,0,-1.561,-4.633,0,0.652,0,0,-2.017,-0.917,0,-0.824,-0.84,2.645,-2.212,0,4.15,0,0,-1.714,0,0,-0.339,-3.397,0,0,0,0,0,0,0,5.168,-2.198,0,0,0,0,0,-1.079,2.557,0,0,0
