usr_scor,rank,sCntQstr,sCntEngine,sRareSite,sRareQstr,sRareEngine,s.score,sRank,sRankMean,sRankMin,lp.score,sCntSubQstr,sStrongSubQstr,searchCount,sSearchBrevity,sRareSiteBySearch,sSimpleBySearch,sLinProBySearch
8,1,13,1,30,22,2722,13,0.0099009900990099,2.07692307692308,1,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,5,2,1,3,22,2722,2,0.00952380952380952,4.5,4,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
7,7,4,1,14,22,2722,4,0.00934579439252336,20.75,5,2,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
7,8,10,1,30,22,2722,10,0.00925925925925926,3.5,1,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,11,2,1,6,22,2722,2,0.00900900900900901,12,11,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,12,11,1,11,22,2722,11,0.00892857142857143,15.3636363636364,5,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,13,34,1,34,22,2722,34,0.00884955752212389,9.17647058823529,1,2,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,14,3,1,5,22,2722,3,0.0087719298245614,18.3333333333333,14,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,15,2,1,2,22,2722,2,0.00869565217391304,16,15,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
3,17,2,1,2,22,2722,2,0.00854700854700855,19,17,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
8,20,4,1,4,22,2722,4,0.00833333333333333,22.5,18,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
3,22,2,1,2,22,2722,2,0.00819672131147541,22.5,22,1,6,3,22,0.0138888888888889,9.54545454545454,5.04545454545455,1.09090909090909
7,1,10,1,30,20,2722,10,0.0099009900990099,3.5,1,1,6,3,20,0.0142857142857143,12.4,5.6,1.05
