2.517,0.24,1.402,2.022,1.535
1.975,-0.493,0.525,0.355,0.274
-2.495,-0.88,-0.191,1.154,-2.357
1.979,-1.096,1.55,0.26,-0.903
-1.982,-0.73,-0.376,0.219,0.398
-0.149,-0.27,0.864,-0.575,0.436
-0.348,-1.084,-0.62,1.405,0.106
1.128,0.457,-0.683,-0.4,1.381
-0.665,-0.884,-0.963,0.251,-1.248
1.006,-1.176,0.523,0.396,0.986
3.745,1.81,-0.236,1.032,-0.514
0.565,1.011,-0.316,1.348,-0.542
1.573,-0.481,0.299,1.131,-0.559
1.094,0.525,-0.319,-0.429,0.538
-2.321,-0.593,0.229,-1.009,-1.171
-1.259,0.181,-0.58,0.586,0.071
-0.981,0.8,-0.782,-0.293,1.655
1.122,0.783,-0.161,1.105,0.873
0.753,0.207,0.236,-0.836,1.69
1.13,0.216,1.236,-0.828,0.132
0.918,0.691,-0.82,0.342,0.9
1.422,-0.032,-0.052,-0.624,-1.102
-2.682,-0.333,-0.55,1.146,-1.533
0.102,1.318,-1.096,-0.984,0.634
1.342,0.801,-0.366,0.678,1.106
0.722,0.671,0.355,0.66,0.832
1.895,1.854,-1.142,1.407,0.14
0.139,0.559,-0.427,0.154,-0.758
-0.865,0.863,1.169,-1.884,0.211
0.729,1.563,2.564,0.092,0.568
0.142,-0.524,-0.461,-0.735,0.254
0.969,-0.547,-1.173,-0.505,0.89
1.554,-0.164,0.789,0.788,0.207
4.123,0.409,0.188,0.068,-1.29
-2.012,0.128,-1.161,-0.037,1.187
2.591,0.296,0.078,0.144,0.055
2.097,1.092,-0.293,-0.525,-1.13
-0.309,1.072,0.32,1.797,-1.721
0.997,0.206,0.164,-0.283,-0.77
-1.616,0.409,-0.629,-1.46,-1.263
3.188,1.264,1.898,-1.097,-0.272
-0.888,-0.216,0.951,0.337,1.394
-0.808,0.603,-1.555,-0.204,0.016
0.536,0.236,-1.216,-1.797,-1.047
-1.947,-1.317,-1.037,-0.624,0.005
0.72,0.579,0.437,-2.217,-1.349
1.552,0.795,1.095,-0.981,0.818
0.357,0.603,-0.313,-0.72,0.162
-0.959,0.991,0.051,0.614,-0.777
0.787,-0.616,1.267,-0.271,0.313
0.743,-0.464,0.869,0.719,0.537
-1.535,0.42,-0.142,0.27,1.49
1.905,0.931,0.633,-0.678,-0.641
-0.733,-1.782,0.425,1.647,1.177
2.518,0.446,-0.431,0.179,1.924
-2.696,-1.032,-0.322,-0.75,-0.457
-0.912,-0.415,-1.428,1.394,-0.865
3.335,0.961,2.176,-0.213,-1.49
-1.978,-0.59,-0.396,-0.285,-0.179
0.275,0.197,-0.18,-0.35,-0.702
-2.4,0.15,-1.467,-0.592,-0.1
0.699,2.204,-0.621,-1.509,0.041
2.043,0.242,1.862,-0.262,0.696
-0.088,0.367,-1.079,0.674,0.088
-0.735,-0.076,0.185,0.571,-0.571
1.784,-0.172,0.622,-1.35,-0.313
5.057,1.909,0.575,-0.987,-0.642
1.511,1.55,0.948,-1.549,-2.035
0.393,-0.7,0.248,0.349,-0.991
2.896,-0.502,0.262,-1.29,-0.066
-0.053,0.734,-0.005,-0.935,-1.776
-0.588,-0.141,-0.793,0.501,0.853
-0.594,-0.939,0.046,1.155,-0.447
-3.185,-2.12,-0.304,1.622,-0.53
0.93,0.595,-0.34,0.788,0.18
0.023,-0.155,0.826,-1.109,-0.38
3.258,-0.02,0.974,-0.372,1.53
-3.107,-1.979,1.446,-0.068,0.753
-2.381,-2.019,-1.362,-0.828,-0.795
-2.401,-1.781,-0.583,-0.126,1.154
-0.828,-0.031,-1.49,0.365,1.017
0.305,-0.814,-0.221,0.835,-2.022
4.115,1.666,0.768,0.156,-0.515
-3.089,-0.627,0.515,-0.759,-0.638
-2.181,0.863,-1.978,-1.119,-0.788
-0.524,0.838,-1.551,0.405,-0.752
4.516,0.54,0.655,-0.973,0.466
2.864,-0.516,1.968,-0.666,0.209
0.516,-0.101,0.058,-0.453,-0.214
4.059,1.056,1.639,1.345,-0.541
-1.701,0.847,-1.206,-1.942,0.897
2.621,1.098,1.901,0.046,1.138
-1.302,-1.031,-0.039,-0.443,2.05
3.654,0.615,1.723,-1.253,-1.087
0.381,0.88,-0.609,0.037,-0.79
1.373,0.059,0.341,-0.074,0.402
-0.935,0.562,0.729,1.386,-0.521
5.325,0.848,0.682,-0.448,-0.045
0.224,1.454,-0.384,0.774,-0.987
-2.952,-0.331,-0.292,1.033,0.218
