1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,38927.1733333333,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,1.4
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,32710.2466666667,FALSE,0,0,0,0,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1619,3.31333333333333
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,37254.3144654088,TRUE,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2.12578616352201
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154.5,34982.2805660377,TRUE,0,0,0,0,15,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1619,2.12578616352201
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,26480.7560651379,FALSE,0,0,14,0.0735042129022347,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,5.22033898305085
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3333333333333,36928.0488888889,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,1.4
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,22511.95,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,2
24,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,3,26.3333333333333,16264.9505928854,FALSE,1,0,0,0.197484550297076,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,770,7.17647058823529
24,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,3,24.75,16315.412944664,FALSE,3,0,0,0.197484550297076,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,770,7.17647058823529
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22009.9375,TRUE,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,317,2.96875
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22009.9375,TRUE,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,317,2.96875
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,24766.523255814,TRUE,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3.6046511627907
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28380.34375,FALSE,0,0,0,0.100425977487447,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2.46875
3,1.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.5,26593.0960983042,FALSE,0,0,9,0.0237529691211401,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1589,5.64594594594595
