-0.258,2,491,1997,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,5,4.35135011441648,0.864939602979778,5,5,5
-0.726,4,487,1960,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,5,4.3293692372171,0.86053320654768,5,5,5
0.4,5,1356,1925,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,4,3.77222356058781,1.04412524388301,4,4,4
0.581,7,969,1937,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,4,4.14847666795218,0.97691483529796,4,4,4
0.557,8,360,1951,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,4,3.71040630182421,1.13333690808542,4,4,4
0.641,10,3455,1813,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,4,4.18698400892525,0.988250003361121,4,4,4
0.649,11,283,2003,4.26,1813044,1878095,59730,34288,59980,226062,628174,929591,4,4.16939675539455,0.939813908941914,4,4,4
0.771,13,995,1949,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,4,4.0468250187164,0.943538949483067,4,4,4
0.569,14,896,1945,3.87,1881700,1982987,35472,66854,135147,433432,698642,648912,4,3.82558626465662,0.987361329582228,4,4,4
-0.519,18,376,1999,4.53,1832823,1969375,36099,6716,20413,166129,509447,1266670,5,4.41873226111637,0.764541404952666,5,5,5
0.802,19,566,1954,4.34,1766803,1832541,15333,38031,55862,202332,493922,1042394,5,4.27182761372705,0.939810240093669,5,5,5
-1.49,21,307,2003,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,5,4.35869707694324,0.809341592807821,5,5,5
1.4,22,183,2002,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,4,3.6305557934401,1.06536208707459,4,4,4
-0.642,23,398,1998,4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,4,4.22941815162547,0.86668636067929,4,4,4
-0.305,24,332,2000,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,5,4.43078013270631,0.754079796117132,5,5,5
-0.621,25,263,2007,4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,5,4.52594093047569,0.73777923686734,5,5,5
0.0845,26,350,2003,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,4,3.62094553243574,1.09780263041606,4,4,4
0.174,27,275,2005,4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,5,4.44333930110735,0.748377264503857,5,5,5
-0.53,28,458,1954,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,4,3.66332251401593,1.07049232336506,4,4,4
-0.408,32,373,1937,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,4,3.84489556245281,0.998161560698624,4,4,4
-1.54,33,220,1997,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,4,4.00132696390658,0.929572543318794,4,4,4
0.228,35,458,1988,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,4,3.60217586361597,1.19015958662813,4,4,4
0.00588,36,192,1993,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,4,4.06731208329528,0.951672517432243,4,4,4
0.29,42,1707,1868,4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,4,3.99793407831721,0.985524195761974,4,4,4
-0.0747,45,264,2001,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,4,3.83321867321867,1.06039242286571,4,4,4
-0.0312,48,507,1953,3.97,570498,1176240,30694,28366,64289,238242,426292,419051,4,3.93143910007758,0.950247528801364,4,4,4
-0.111,50,45,1974,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,5,4.31107629263589,0.845610374570829,5,5,5
0.167,54,257,1979,4.2,936782,1006479,20345,21764,41962,145173,299579,498001,4,4.10993975903614,1.00018152604124,4,4,4
0.0886,55,515,1932,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,4,3.89232209737828,0.980273297227863,4,4,4
0.866,58,2277,1884,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,4,3.82634345167864,0.979178756481787,4,4,4
-1,62,287,1995,3.94,953970,994914,14915,38382,64591,198764,313147,380030,4,3.885986328125,1.07895548716692,4,4,4
0.984,65,241,1969,4.06,846488,891762,19646,24964,45518,152442,300948,367890,4,4.0311774055508,0.968256871765834,4,4,4
-1.42,70,224,1985,4.3,813439,873417,38054,15330,27612,103439,264207,462829,4,4.25822126793988,0.908131116681726,4,4,4
0.933,72,289,1977,4.17,791850,830881,14936,18487,28981,123862,277393,382158,4,4.11966185687218,0.901307570997604,4,4,4
0.736,81,92,2005,4.24,621099,637866,40777,7901,18922,85191,227750,298102,4,4.13938772019839,0.879441613659977,4,4,4
-0.000324,84,176,1990,3.96,447833,650483,8143,15736,34222,138327,231583,230615,4,3.9154673534313,0.923664538279428,4,4,4
