regr.fnn,0,1,0.653846153846154,2
regr.LiblineaRL2L1SVR,0,1,0.666666666666667,3
regr.elmNN,0,1,0.67948717948718,3
regr.lm,0,1,0.67948717948718,3
regr.bdk,0,1,0.730769230769231,6
regr.mars,0,1,0.743589743589744,4
regr.glm,0,1,0.756410256410256,4
regr.gausspr,0,1,0.769230769230769,5
regr.LiblineaRL2L2SVR,0,1,0.782051282051282,13
regr.rsm,0,1,0.807692307692308,4
regr.earth,0,1,0.846153846153846,5
regr.rvm,0,1,0.858974358974359,8
regr.featureless,0,1,0.875,12
regr.pcr,0,1,0.923076923076923,11
regr.xyf,0,1,0.974358974358974,7
regr.cubist,0,1,1.1,12
regr.mob,0,1,1.1025641025641,18
regr.cvglmnet,0,1,1.24358974358974,6
regr.bst,0,1,1.32051282051282,4
regr.ctree,0,1,1.3625,31
regr.plsr,0,1,1.6025641025641,37
regr.cforest,0,1,1.6625,9
regr.slim,0,1,1.69230769230769,10
regr.brnn,0,1,42.3076923076923,3188
regr.rknn,1,2,1.73076923076923,6
regr.km,1,2,1.88461538461538,5
regr.randomForestSRC,1,2,3.5625,39
regr.gamboost,1,2,4.53846153846154,67
regr.h2o.glm,1,3,4.03846153846154,16
regr.frbs,2,3,27.7948717948718,562
regr.evtree,2,4,3.80769230769231,10
regr.bartMachine,1,4,4.1625,14
regr.h2o.randomForest,1,4,5.53846153846154,35
regr.h2o.gbm,2,5,6.24358974358974,60
regr.glmnet,6,7,8.1578947368421,27
regr.h2o.deeplearning,2,7,8.34615384615385,49
regr.rpart,6,7,12.2435897435897,124
regr.ksvm,7,7,14.0131578947368,147
regr.svm,7,7,15.7368421052632,190
regr.gbm,5,7,18.3333333333333,251
regr.glmboost,8,14,19.3684210526316,134
regr.nnet,9,15,18.1578947368421,74
regr.randomForest,10,18,58.7368421052632,970
regr.RRF,11,18.5,67.4473684210526,1086
regr.ranger,14,22,45.0526315789474,650
regr.nodeHarvest,7,26.5,29.9358974358974,115
avNNe,53,53,53,53
regr.extraTrees,21,55,294.565789473684,5903
regr.blackboost,57,136.5,214.576923076923,2282
regr.xgboost,83,323.5,482.026315789474,2364
regr.bcart,Inf,,,-Inf
regr.bgp,Inf,,,-Inf
regr.bgpllm,Inf,,,-Inf
regr.blm,Inf,,,-Inf
regr.btgp,Inf,,,-Inf
regr.btgpllm,Inf,,,-Inf
regr.btlm,Inf,,,-Inf
regr.crs,Inf,,,-Inf
regr.IBk,Inf,,,-Inf
regr.kknn,Inf,,,-Inf
regr.laGP,Inf,,,-Inf
regr.penalized.fusedlasso,Inf,,,-Inf
regr.penalized.lasso,Inf,,,-Inf
regr.penalized.ridge,Inf,,,-Inf
