,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caret,avNNet,Thu Dec 19 19:25:20 2019,0,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,277,222,,V2,39.4,V3,23.6,V4,24.8,V5,0,V19,100,V20,30.7,V21,50.1,V22,20,V25,34.3,V26,67.2,V27,9.87,V28,21.3,V29,11.5,V32,23.4,V35,19.3,V36,19.7,V37,45.2,V39,46.7,V41,14.1,V43,44.2,V44,33
caret,bagEarthGCV,Thu Dec 19 19:25:49 2019,0.006,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,94,222,,V19,100,V37,81.7,V39,72.3,V20,59.9,V4,54.3,V36,43.7,V3,39.1,V26,26.6,V25,20.1,V41,10,V43,7.23,V44,4.53,V2,1,V5,0.431,V21,0,V22,0,V27,0,V28,0,V29,0,V32,0,V35,0
caret_hold_permute,bagEarthGCV,Thu Dec 19 19:25:55 2019,0.006,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,232,222,5,V36,0.9925,V4,0.9945,V25,0.9953,V41,0.9973,V29,1,V22,1.001,V28,1.001,V2,1.002,V19,1.002,V35,1.002,V27,1.004,V32,1.004,V21,1.011,V5,1.013,V44,1.017,V20,1.023,V3,1.026,V37,1.049,V43,1.056,V39,1.07,V26,1.142
caret_train_permute,bagEarthGCV,Thu Dec 19 19:26:00 2019,0.006,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,232,222,6,V35,0.9969,V28,0.9993,V22,1,V29,1,V2,1.002,V36,1.003,V32,1.005,V41,1.005,V39,1.009,V25,1.011,V27,1.012,V44,1.013,V21,1.021,V19,1.021,V4,1.032,V3,1.033,V43,1.041,V20,1.045,V37,1.061,V26,1.121,V5,1.223
caret,bayesglm,Thu Dec 19 19:26:06 2019,0.009,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,624,222,,V2,39.4,V3,23.6,V4,24.8,V5,0,V19,100,V20,30.7,V21,50.1,V22,20,V25,34.3,V26,67.2,V27,9.87,V28,21.3,V29,11.5,V32,23.4,V35,19.3,V36,19.7,V37,45.2,V39,46.7,V41,14.1,V43,44.2,V44,33
caret_hold_permute,bayesglm,Thu Dec 19 19:26:07 2019,0.009,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,232,222,0,V36,0.9891,V21,0.9962,V29,0.9965,V41,0.9967,V35,0.9985,V22,0.999,V2,1,V32,1.002,V20,1.002,V4,1.002,V25,1.003,V28,1.003,V19,1.007,V27,1.01,V44,1.016,V3,1.016,V37,1.034,V43,1.044,V39,1.046,V5,1.046,V26,1.128
caret_train_permute,bayesglm,Thu Dec 19 19:26:07 2019,0.009,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,232,222,0,V43,0.9917,V35,0.9959,V22,0.9996,V20,0.9999,V2,1,V44,1,V29,1.001,V39,1.003,V27,1.004,V25,1.005,V36,1.007,V32,1.008,V28,1.009,V21,1.01,V41,1.016,V4,1.02,V3,1.022,V19,1.022,V37,1.033,V5,1.065,V26,1.072
caret,blasso,Thu Dec 19 19:26:19 2019,0.071,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,623,222,,V2,39.4,V3,23.6,V4,24.8,V5,0,V19,100,V20,30.7,V21,50.1,V22,20,V25,34.3,V26,67.2,V27,9.87,V28,21.3,V29,11.5,V32,23.4,V35,19.3,V36,19.7,V37,45.2,V39,46.7,V41,14.1,V43,44.2,V44,33
caret_hold_permute,blasso,Thu Dec 19 19:26:19 2019,0.071,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,232,222,0,V36,0.9992,V41,0.9996,V29,0.9997,V20,1,V21,1,V35,1,V4,1.001,V27,1.001,V28,1.001,V44,1.002,V22,1.002,V2,1.003,V25,1.005,V32,1.007,V43,1.013,V19,1.021,V3,1.025,V37,1.025,V39,1.035,V5,1.041,V26,1.122
caret_train_permute,blasso,Thu Dec 19 19:26:19 2019,0.071,2,QSlinks14_55,ignore,none,expoTrans,LAPTOPBBQ,QSlink3,2,5,403,232,222,0,V43,0.9945,V35,0.9987,V2,0.999,V28,0.9994,V44,0.9996,V21,0.9997,V29,1,V20,1,V27,1,V36,1,V39,1.001,V22,1.001,V41,1.001,V32,1.007,V4,1.008,V25,1.008,V3,1.02,V37,1.022,V19,1.045,V5,1.048,V26,1.067
