,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avNNet, Tue Mar 20 14:49:46 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
bagEarthGCV, Tue Mar 20 14:50:45 2018, 0, 4thbookercenterbooks, c(100, 89.9, 75.7, 70.5, 62.3, 54.3, 44.5, 37.2, 28.6, 22, 14.2, 5.9, 0, 0, 0, 0, 0, 0)
bartMachine, Tue Mar 20 15:03:57 2018, 0, 4thbookercenterbooks, Failed
bayesglm, Tue Mar 20 15:04:02 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
blasso, Tue Mar 20 15:04:44 2018, 0.001, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
blassoAveraged, Tue Mar 20 15:05:25 2018, 0.002, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
bridge, Tue Mar 20 15:06:04 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
BstLm, Tue Mar 20 15:11:57 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
cforest, Tue Mar 20 15:12:52 2018, 0, 4thbookercenterbooks, Failed
ctree, Tue Mar 20 15:13:14 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
ctree2, Tue Mar 20 15:13:29 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
cubist, Tue Mar 20 15:15:43 2018, 0, 4thbookercenterbooks, c(100, 8.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
dnn, Tue Mar 20 15:16:04 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
earth, Tue Mar 20 15:16:25 2018, 0, 4thbookercenterbooks, c(100, 97.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
elm, Tue Mar 20 15:16:35 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
enet, Tue Mar 20 15:16:53 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
evtree, Tue Mar 20 15:25:16 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
extraTrees, Tue Mar 20 15:29:17 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
foba, Tue Mar 20 15:29:25 2018, 0, 4thbookercenterbooks, c(54.2, 100, 84.8, 72.8, 47.8, 44.8, 38.1, 98.5, 79.6, 62.8, 54.5, 42.1, 0, 94.7, 21.8, 0, 0, 0)
gamSpline, Tue Mar 20 15:32:20 2018, 0, 4thbookercenterbooks, Failed
gbm, Tue Mar 20 15:36:10 2018, 0, 4thbookercenterbooks, Failed
gcvEarth, Tue Mar 20 15:41:06 2018, 0, 4thbookercenterbooks, c(100, 98.1, 44.1, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)
glm, Tue Mar 20 15:41:09 2018, 0, 4thbookercenterbooks, c(23.8, 2.7, 49.8, 100, 24.2, 16.4, 0, 83.9, 55.6, 33.7, 18.4, 94.4, 32.9, 40.4, 14.7)
