0.335,0.212,0.659,0.889,0.593,Wed Aug 02 16:37:25 2017,avNNe,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,0.953,0.91,0.012,0.109,0.042,Thu Aug 17 23:20:08 2017,avNNet,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,249,26,cv,5,6,1,5,3,0.000154371552198701,FALSE
Fail,Fail,Fail,Fail,Fail,Thu Aug 17 23:20:12 2017,bag,1,1,basic latent features,ignore,none,range01,3
0.996,0.996,0.001,0.005,0.004,Thu Aug 17 23:21:04 2017,bagEarth,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,251,52,cv,5,6,1,5,7,1
0.992,0.993,-1,0.009,0.007,Thu Aug 17 23:21:17 2017,bagEarthGCV,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,252,13,cv,5,6,1,5,1
Fail,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:22 2017,bam,1,1,basic latent features,ignore,none,range01,5
Fail,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:23 2017,bartMachine,1,1,basic latent features,ignore,none,range01,1
1,1,-1,NA,NA,Thu Aug 17 23:21:26 2017,bayesglm,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,255,2,cv,5,6,1,5,none
Fail,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:31 2017,blasso,1,1,basic latent features,ignore,none,range01,4
Fail,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:35 2017,blassoAveraged,1,1,basic latent features,ignore,none,range01,3
Fail,Fail,Fail,Fail,Fail,Thu Aug 17 23:21:39 2017,bridge,1,1,basic latent features,ignore,none,range01,3
0.999,0.999,0,0.001,0.001,Thu Aug 17 23:23:12 2017,BstLm,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,259,92,cv,5,6,1,5,484,0.59435230299877
0.66,0.63,0.056,0.449,0.306,Thu Aug 17 23:23:20 2017,cforest,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,260,8,cv,5,6,1,5,8
0.54,0.565,0.077,0.528,0.414,Thu Aug 17 23:23:25 2017,ctree,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,261,4,cv,5,6,1,5,0.809848358621821
0.54,0.565,0.071,0.528,0.414,Thu Aug 17 23:23:29 2017,ctree2,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,262,4,cv,5,6,1,5,5,0.882044018246233
0.999,0.999,0.001,0.001,0,Thu Aug 17 23:23:42 2017,cubist,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,263,12,cv,5,6,1,5,37,7
-1.882,-1.707,0.247,NA,NA,Thu Aug 17 23:24:11 2017,DENFIS,1,1,basic latent features,ignore,none,range01,1.21305970973197,random,264,29,cv,5,6,1,5,0.735564967151731,9
