basic latent features,114,0.95,bagEarth,bagEarthGCV,bayesglm,blasso,blassoAveraged,bridge,BstLm,bstSm,cubist,earth,elm,enet,foba,gamboost,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,krlsRadial,lars,lars2,lasso,leapBackward,leapForward,leapSeq,lm,lmStepAIC,msaenet,neuralnet,pcr,avNNet,bagEarth,bagEarthGCV,bayesglm,BstLm,cubist,earth,elm,foba,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,lm,lmStepAIC,neuralnet,pcaNNet,pcr,ppr,simpls,widekernelpls,bagEarth,bagEarthGCV,bayesglm,BstLm,cubist,earth,elm,foba,gamSpline,gcvEarth,glm,glmboost,glmnet,glmStepAIC,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,lm,lmStepAIC,msaenet,neuralnet,pcr,ppr,simpls,svmLinear2,widekernelpls,bagEarth,cubist,elm,foba,gamSpline,glmboost,glmnet,icr,kernelpls,lars,lars2,leapBackward,leapForward,leapSeq,msaenet,ppr,relaxo,simpls,svmLinear2,widekernelpls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ 2,7,0.92055,bagEarth,cubist,gamSpline,ppr,RRF,RRFglobal,xgbLinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ .5,4,0.93955,cubist,ppr,Rborist,xgbLinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ -2,21,0.45315,avNNet,BstLm,bstTree,cforest,ctree,ctree2,cubist,dnn,earth,elm,foba,gbm,glmboost,icr,kknn,knn,lars,lars2,leapBackward,leapSeq,msaenet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 t C2,1,0.86545,bagEarth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 ^ C2,10,0.43225,avNNet,cubist,kknn,neuralnet,nnet,pcaNNet,qrf,svmLinear2,svmLinear3,xgbLinear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polynomial C1 t C2 t C3^1d3,2,0.58425,bagEarth,earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean subtraction in each row,1,0.24605,svmLinear2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
switches between 1 & -1 based on C1,4,0.95,cforest,ctree,ctree2,qrf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
switches between C2 & -C2 based on C1,1,0.95,cubist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
