0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,basic latent features,ignore,none,asis,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,1.127849791,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744823,FALSE,,,,
-2.281,-1.488,23.26,NA,NA,Mon Dec 18 17:32:59 2017,avNNet,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,41,cv,20,3,NA,5,20,1.38001088783488e-05,FALSE,,,,
Fail,Fail,Fail,Fail,Fail,Mon Dec 18 17:33:07 2017,bag,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,7,,,,,,,,,,,,,,,
0.653,0.658,3.502,NA,NA,Mon Dec 18 17:36:02 2017,bagEarth,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,175,cv,20,3,NA,5,15,2,,,,,
0.614,0.58,-1,NA,NA,Mon Dec 18 17:36:56 2017,bagEarthGCV,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,11,cv,20,3,NA,5,1,,,,,,
0.594,0.576,3.816,NA,NA,Mon Dec 18 17:41:34 2017,bam,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,239,cv,20,3,NA,5,FALSE,ML,,,,,
0.634,0.631,3.399,3.536,2.434,Mon Dec 18 17:52:45 2017,bartMachine,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,671,cv,20,3,NA,5,40,2.5202669203,0.9213581588,1.5406874102,2.3952834227,,
0.473,0.492,-1,4.867,3.508,Mon Dec 18 17:53:03 2017,bayesglm,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,5,cv,20,3,NA,5,none,,,,,,
0.454,0.476,4.874,5.027,3.637,Mon Dec 18 17:53:15 2017,blasso,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,12,cv,20,3,NA,5,0.3607354756,,,,,,
0.463,0.479,-1,4.995,3.573,Mon Dec 18 17:53:26 2017,blassoAveraged,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,10,cv,20,3,NA,5,none,,,,,,
0.467,0.483,-1,4.961,3.548,Mon Dec 18 17:53:36 2017,bridge,1,1,Boston Housing,ignore,none,YeoJohnson,dg-775i65GVunix,out14th20hp3cvdg-775i65GVunix,9.5885376236,random,317,10,cv,20,3,NA,5,none,,,,,,
