leapForward,1,2,1.94117647058824,2
lars2,2,2,2,2
leapSeq,2,2,2,2
lm,2,2,2,2
rpart1SE,2,2,2,2
kernelpls,2,2,2.05882352941176,3
lars,2,2,2.05882352941176,3
leapBackward,2,2,2.05882352941176,3
pcr,2,2,2.05882352941176,3
glm,2,2,2.11764705882353,3
bayesglm,2,2,2.17647058823529,3
knn,2,2,2.17647058823529,3
elm,2,2,2.29411764705882,3
rpart,2,2,2.29411764705882,3
rpart2,2,2,2.29411764705882,3
gcvEarth,2,2,2.47058823529412,4
simpls,2,2,2.47058823529412,7
foba,2,3,2.52941176470588,3
glmnet,3,3,3.23529411764706,6
relaxo,3,3,3.23529411764706,4
lmStepAIC,2,3,3.47058823529412,5
ctree2,3,3,3.58823529411765,5
svmRadialCost,2,3,3.64705882352941,8
ppr,3,3,3.88235294117647,7
svmRadialSigma,2,3,4,8
svmPoly,2,3,17.2352941176471,135
ctree,3,4,3.64705882352941,5
svmRadial,3,4,4,8
glmStepAIC,2,4,4.05882352941176,6
earth,3,4,4.11764705882353,6
glm.nb,3,4,4.26666666666667,7
svmLinear2,2,4,6.82352941176471,24
dnn,4,5,5.47058823529412,8
svmLinear,2,5,6,14
treebag,5,5,6.23529411764706,13
nnet,4,7,7.17647058823529,14
msaenet,7,7,8,11
pcaNNet,4,8,7.82352941176471,14
icr,3,8,8.64705882352941,14
svmLinear3,2,9,8.17647058823529,16
ranger,4,9,8.88235294117647,17
gamSpline,6,9,9.47058823529412,13
glmboost,7,9,9.76470588235294,15
xgbLinear,6,10,10.2352941176471,16
kknn,4,11,10.3529411764706,15
widekernelpls,3,13,11.9411764705882,20
bagEarthGCV,10,15,15.5294117647059,22
cforest,7,18,18.8235294117647,35
rf,9,19,21.0588235294118,42
parRF,8,23,21.5882352941176,36
avNNet,13,23,23.3529411764706,36
RRFglobal,8,24,22.8823529411765,33
gbm,12,34,35.8235294117647,71
qrf,12,34,37,85
gam,35,35,35,35
cubist,12,42,49.6470588235294,120
RRF,16,51.5,46.0714285714286,72
BstLm,37,53,62.7647058823529,111
bagEarth,33,75,69.5294117647059,101
xgbTree,22,79,71.0588235294118,109
evtree,56,128,138.647058823529,357
bam,147,147,147,147
Rborist,33,151,147.176470588235,236
bag,Inf,,,-Inf
bartMachine,Inf,,,-Inf
blasso,Inf,,,-Inf
blassoAveraged,Inf,,,-Inf
bridge,Inf,,,-Inf
DENFIS,Inf,,,-Inf
enet,Inf,,,-Inf
extraTrees,Inf,,,-Inf
gamboost,Inf,,,-Inf
gaussprLinear,Inf,,,-Inf
gaussprPoly,Inf,,,-Inf
gaussprRadial,Inf,,,-Inf
gbm_h2o,Inf,,,-Inf
glmnet_h2o,Inf,,,-Inf
krlsPoly,Inf,,,-Inf
krlsRadial,Inf,,,-Inf
lasso,Inf,,,-Inf
logicBag,Inf,,,-Inf
logreg,Inf,,,-Inf
M5,Inf,,,-Inf
M5Rules,Inf,,,-Inf
nnls,Inf,,,-Inf
ordinalNet,Inf,,,-Inf
pls,Inf,,,-Inf
plsRglm,Inf,,,-Inf
pythonKnnReg,Inf,,,-Inf
qrnn,Inf,,,-Inf
randomGLM,Inf,,,-Inf
ridge,Inf,,,-Inf
rlm,Inf,,,-Inf
rqlasso,Inf,,,-Inf
rqnc,Inf,,,-Inf
rvmLinear,Inf,,,-Inf
rvmPoly,Inf,,,-Inf
rvmRadial,Inf,,,-Inf
SBC,Inf,,,-Inf
spikeslab,Inf,,,-Inf
spls,Inf,,,-Inf
superpc,Inf,,,-Inf
svmBoundrangeString,Inf,,,-Inf
svmExpoString,Inf,,,-Inf
svmSpectrumString,Inf,,,-Inf
WM,Inf,,,-Inf
xyf,Inf,,,-Inf
